Symbol,Date,Open,High,Low,Close,Volume
AAME,06-Oct-2004,3,3.01,2.9,2.95,4367
AAON,06-Oct-2004,3.4782,3.5967,3.4782,3.5967,6368
AAPL,06-Oct-2004,0.7054,0.7279,0.7048,0.7257,15945530
ABCB,06-Oct-2004,16.875,17.1,16.75,17.1,11971
ABMD,06-Oct-2004,9.83,10.03,9.79,9.86,38620
ACAD,06-Oct-2004,7.75,7.8,7.75,7.8,1900
ACBA,06-Oct-2004,8.511,8.798,8.511,8.798,3162
ACET,06-Oct-2004,9.5533,9.6933,9.4,9.6,245977
ACGL,06-Oct-2004,4.1722,4.1844,4.1544,4.1833,165486
ACLS,06-Oct-2004,36,36.2,35.4,35.96,770631
ACMR,06-Oct-2004,23.64,23.65,23.06,23.25,190300
ACTG,06-Oct-2004,4.38,4.4,4.04,4.38,40286
ADBE,06-Oct-2004,25.45,25.94,25.45,25.835,3627412
ADES,06-Oct-2004,7,7,7,7,2650
ADI,06-Oct-2004,39.76,40.08,39.02,40.06,3418100
ADP,06-Oct-2004,38.2441,38.4371,37.7173,38.4284,1217900
ADPT,06-Oct-2004,8.25,8.5,8.22,8.5,635658
ADRE,06-Oct-2004,18.608,18.665,18.58,18.665,11735
ADSK,06-Oct-2004,25.215,25.495,24.835,25.495,2127432
ADTN,06-Oct-2004,22.54,23.35,19.94,20.79,8821116
AEHR,06-Oct-2004,3,3,3,3,700
AEIS,06-Oct-2004,10.84,10.84,10.51,10.58,326680
AEZS,06-Oct-2004,3372,3522,3372,3444,29268
AGEN,06-Oct-2004,6.19,6.3,6.1,6.2,157528
AGIL,06-Oct-2004,8.2,8.35,8.2,8.35,221416
AGYS,06-Oct-2004,17.86,17.92,17.55,17.64,410751
AHPI,06-Oct-2004,7,7.4,7,7.4,9038
AINV,06-Oct-2004,41.37,41.67,40.53,40.8,865530
AIRT,06-Oct-2004,25.24,30.5,25.23,27.75,10069560
AKAM,06-Oct-2004,15.01,15.8,14.85,15.72,2510416
ALCO,06-Oct-2004,48.7,51.01,48.7,51,23866
ALGN,06-Oct-2004,16.09,16.25,16,16.19,633034
ALKS,06-Oct-2004,12,12.25,11.87,12.19,420537
ALNY,06-Oct-2004,5.95,5.95,5.62,5.8,10569
ALOT,06-Oct-2004,7.992,7.992,7.904,7.904,2200
ALTR,06-Oct-2004,20.47,20.5,19.93,20.39,6517768
ALVR,06-Oct-2004,139.2,139.7,135.9,138.1,262221
AMAT,06-Oct-2004,17.26,17.27,16.97,17.24,30578720
AMD,06-Oct-2004,13.9,14.06,13.63,13.97,10062000
AMED,06-Oct-2004,23.235,23.4,22.77,23.123,253833
AMGN,06-Oct-2004,57.62,57.7,56.95,57.58,5797200
AMKR,06-Oct-2004,4.05,4.22,3.94,4.17,2320512
AMNB,06-Oct-2004,25.06,25.17,24.75,24.94,1200
AMOT,06-Oct-2004,5.52,5.57,5.43,5.52,11900
AMPH,06-Oct-2004,9.891,9.891,9.891,9.891,186
AMPL,06-Oct-2004,71.6,75.6,69.8,70.8,9100
AMRN,06-Oct-2004,1.101,1.2,1.1,1.2,48758
AMSC,06-Oct-2004,123.8,126.5,122.8,124.8,103340
AMSWA,06-Oct-2004,6.05,6.05,5.92,6,23300
AMWD,06-Oct-2004,36.41,37.57,36.41,37.4,27302
AMZN,06-Oct-2004,40.71,41.41,40.4,41.36,5135600
ANAT,06-Oct-2004,99.98,100.47,99.29,99.67,45532
ANDE,06-Oct-2004,7,7.1333,7,7.13,2425
ANGN,06-Oct-2004,1.29,1.29,1.29,1.29,0
ANGO,06-Oct-2004,12,12.26,12,12.04,23789
ANIK,06-Oct-2004,13.79,14.6,13.74,14.57,102854
ANSS,06-Oct-2004,12.945,13.75,12.925,13.75,282569
APAC,06-Oct-2004,1.61,1.65,1.57,1.6,55625
APOG,06-Oct-2004,12.38,13.25,12.38,13.25,105343
APTM,06-Oct-2004,8.9,8.925,8.45,8.895,34590
ARCC,06-Oct-2004,15.1,15.1,15,15,539646
ARKR,06-Oct-2004,28.98,29.9,28.83,29.1,8090
ARLP,06-Oct-2004,14.47,15.1075,14.4225,14.875,168812
ARNA,06-Oct-2004,41.9,43.8,41.9,43.7,80862
AROW,06-Oct-2004,28.89,30.1,28.89,30.1,9777
ARRY,06-Oct-2004,7.49,7.75,7.49,7.5,69131
ARTL,06-Oct-2004,5.28,5.67,5.28,5.38,3000
ARTNA,06-Oct-2004,17.882,17.896,17.862,17.862,900
ARTW,06-Oct-2004,4.45,4.45,4.45,4.45,0
ARWR,06-Oct-2004,4.14,4.14,3.97,3.99,11000
ASML,06-Oct-2004,13.59,13.74,13.45,13.7,1578229
ASRV,06-Oct-2004,4.81,5.09,4.76,4.83,6103
ASTE,06-Oct-2004,19.99,19.99,19.63,19.7,94604
ASYS,06-Oct-2004,4.4,4.45,4.35,4.37,2400
ATLO,06-Oct-2004,23.5,23.5,23.5,23.5,0
ATRI,06-Oct-2004,48,48,48,48,300
ATRO,06-Oct-2004,4.1083,4.1667,4.0167,4.0167,1900
ATRS,06-Oct-2004,31.65,32.18,31.26,31.89,281476
ATVI,06-Oct-2004,3.6565,3.727,3.628,3.727,2318200
AUBN,06-Oct-2004,19.61,19.61,19.61,19.61,0
AUDC,06-Oct-2004,12.38,12.91,12.38,12.8,96340
AVCT,06-Oct-2004,27.47,27.55,27.15,27.47,247001
AVID,06-Oct-2004,48.5,49.33,48.25,49.22,275086
AWRE,06-Oct-2004,2.42,2.43,2.39,2.41,10625
AXTI,06-Oct-2004,1.641,1.65,1.56,1.64,25296
AZPN,06-Oct-2004,7.57,7.78,7.55,7.58,284500
BANF,06-Oct-2004,32.565,33,32.365,33,4635
BANFP,06-Oct-2004,26.24,26.25,26.24,26.25,2200
BANR,06-Oct-2004,205.66,206.5,204.12,206.5,7076
BBBY,06-Oct-2004,38.25,39.12,38.21,39.11,1797529
BBGI,06-Oct-2004,15.38,15.44,15.22,15.25,8904
BBSI,06-Oct-2004,10.0067,10.0067,10.0067,10.0067,450
BCPC,06-Oct-2004,5.964,5.994,5.9347,5.9347,9400
BCRX,06-Oct-2004,5.18,5.3,4.96,5.21,62346
BDSI,06-Oct-2004,2.85,3.769,2.71,3.7,219803
BECN,06-Oct-2004,10.605,10.832,10.605,10.692,29399
BELFA,06-Oct-2004,27.84,27.84,27.84,27.84,148
BELFB,06-Oct-2004,33.1,33.31,32.98,33.1,37890
BGFV,06-Oct-2004,22.9,22.9,22.33,22.4,156000
BIIB,06-Oct-2004,56.8694,57.3944,56.6023,57.3852,2554355
BJRI,06-Oct-2004,16.1,16.4,15.6,15.6,230347
BKSC,06-Oct-2004,12.0727,12.0727,12.0727,12.0727,0
BLDP,06-Oct-2004,7.9,8.05,7.8,8.049,833289
BLKB,06-Oct-2004,10.54,10.86,10.54,10.79,30143
BLUE,06-Oct-2004,2.81,2.81,2.71,2.77,5000
BMRC,06-Oct-2004,15.7148,15.9905,15.7148,15.9667,2499
BMRN,06-Oct-2004,4.94,5.02,4.84,4.9,530417
BMTC,06-Oct-2004,20.31,20.71,20.14,20.55,7719
BNSO,06-Oct-2004,5.6,5.64,5.46,5.46,9222
BOKF,06-Oct-2004,45.4,45.65,45.07,45.49,39777
BOOM,06-Oct-2004,1.695,1.75,1.61,1.75,15700
BOSC,06-Oct-2004,8.2,8.52,7.6,8.36,7950
BPOP,06-Oct-2004,263.5,266.5,261.5,265.9,96978
BPOPN,06-Oct-2004,25.5,26.9,25.45,25.45,4400
BRID,06-Oct-2004,8.65,8.65,8.65,8.65,0
BRKL,06-Oct-2004,15.59,15.75,15.59,15.75,110377
BRKR,06-Oct-2004,3.39,3.63,3.36,3.63,429757
