Symbol,Date,Open,High,Low,Close,Volume
AAME,26-Jun-2001,1.7,1.7,1.65,1.7,3800
AAON,26-Jun-2001,2.2157,2.4593,2.2047,2.4373,366525
AAPL,26-Jun-2001,0.4168,0.4245,0.4109,0.4241,9743000
ABCB,26-Jun-2001,9.2917,9.5417,9.2917,9.5417,480
ABMD,26-Jun-2001,24.15,26.45,23.55,23.75,104700
ACBA,26-Jun-2001,4.821,4.821,4.821,4.821,0
ACET,26-Jun-2001,2.8237,2.8741,2.8237,2.8741,59062
ACGL,26-Jun-2001,1.8222,1.8611,1.8189,1.85,21200
ACLS,26-Jun-2001,57.76,58.328,56,57.4,602500
ACMR,26-Jun-2001,14.41,14.74,14.4,14.5,6400
ADBE,26-Jun-2001,21.85,22.559,21.7,22.325,5644400
ADI,26-Jun-2001,39,41.95,39,41.63,2868300
ADP,26-Jun-2001,45.3996,46.1107,45.3819,45.8737,1454700
ADPT,26-Jun-2001,8.79,9.34,8.68,9.3,970500
ADSK,26-Jun-2001,8.625,8.855,8.5075,8.75,1454400
ADTN,26-Jun-2001,8.8435,9.1939,8.6418,8.9347,1118400
AEHR,26-Jun-2001,4.23,4.23,4,4,1600
AEIS,26-Jun-2001,38.01,39,37.15,38.82,808100
AEZS,26-Jun-2001,4374,4410,4332,4332,1600
AGEN,26-Jun-2001,18.6,19.14,18.41,18.8,113000
AGIL,26-Jun-2001,16.18,17.18,15.75,16.75,905700
AGYS,26-Jun-2001,10.35,11.65,10.35,11.52,199200
AHPI,26-Jun-2001,3.3,3.3,3.3,3.3,0
AIRT,26-Jun-2001,4.24,4.24,3.5,3.5,400
AKAM,26-Jun-2001,7.115,8.03,7,7.41,2444000
ALCO,26-Jun-2001,31.12,31.35,30.87,31.27,12200
ALGN,26-Jun-2001,7.855,8.64,7.8,8.49,170200
ALKS,26-Jun-2001,34.995,35.1,33.82,34.03,609000
ALOT,26-Jun-2001,3.127,3.127,3.127,3.127,1540
ALTR,26-Jun-2001,26.02,27.49,25.98,26.99,4658800
ALVR,26-Jun-2001,40.3,43.6,40,42.4,238500
AMAT,26-Jun-2001,24.455,25.5,24.195,25.105,37918000
AMD,26-Jun-2001,25.15,26.4,24.83,26.15,4906300
AMED,26-Jun-2001,3.563,3.563,3.45,3.488,25300
AMGN,26-Jun-2001,63.4,65.48,62.75,63.17,7052400
AMKR,26-Jun-2001,19.68,20.14,19.36,19.84,592500
AMNB,26-Jun-2001,19,19,19,19,1300
AMOT,26-Jun-2001,3.75,3.82,3.75,3.75,7700
AMPH,26-Jun-2001,2.25,2.25,2.25,2.25,2000
AMPL,26-Jun-2001,115,119,102,118,41700
AMRN,26-Jun-2001,9.9,9.9,9.6,9.6,6100
AMSC,26-Jun-2001,204.1,217.8,203.6,216.9,104000
AMSWA,26-Jun-2001,1.79,1.79,1.63,1.63,12700
AMWD,26-Jun-2001,20.3,21.7525,20.175,20.3,364000
AMZN,26-Jun-2001,12.54,13.74,12.04,13.25,6639500
ANAT,26-Jun-2001,76.5,76.7,76.45,76.65,16400
ANDE,26-Jun-2001,2.9,2.9,2.9,2.9,400
ANGN,26-Jun-2001,1.52,1.52,1.42,1.42,1200
ANIK,26-Jun-2001,1.2,1.2,1.17,1.17,4400
ANSS,26-Jun-2001,3.82,4.05,3.82,3.898,168400
APAC,26-Jun-2001,2.86,3.05,2.86,3,142300
APOG,26-Jun-2001,11.35,11.5,11.35,11.5,116400
APTM,26-Jun-2001,0.145,0.17,0.145,0.17,19000
ARKR,26-Jun-2001,9.18,9.5,9.15,9.5,3700
ARLP,26-Jun-2001,5.39,5.505,5.375,5.4875,45700
ARNA,26-Jun-2001,309.5,322.9,302.9,316.5,773500
AROW,26-Jun-2001,16.9078,17.0838,16.7316,16.7739,15753
ARRY,26-Jun-2001,8.47,9.5,8.25,8.74,238500
ARTL,26-Jun-2001,2.6369,2.6369,2.6369,2.6369,500
ARTNA,26-Jun-2001,11.79,11.79,11.362,11.362,800
ARTW,26-Jun-2001,2.17,2.17,2.17,2.17,0
ARWR,26-Jun-2001,2.6,2.6,2.6,2.6,0
ASML,26-Jun-2001,21.12,22.14,21.12,22.01,2034800
ASRV,26-Jun-2001,5.05,5.1,5,5.05,62500
ASTE,26-Jun-2001,15.75,15.84,15.56,15.63,147200
ASYS,26-Jun-2001,8.605,9,8.52,8.94,16500
ATLO,26-Jun-2001,13.3333,13.3333,13.3333,13.3333,13800
ATRI,26-Jun-2001,20.81,20.81,20.81,20.81,0
ATRO,26-Jun-2001,5.9033,6.125,5.8975,6.0433,76
ATVI,26-Jun-2001,2.8795,3.0585,2.821,3.04,3515062
AUBN,26-Jun-2001,11.11,11.11,11.11,11.11,0
AUDC,26-Jun-2001,6,6.45,6,6.17,179700
AVCT,26-Jun-2001,20.5,21.24,20.4,21.03,616400
AVID,26-Jun-2001,12.9,13.4,12.9,13.28,123200
AWRE,26-Jun-2001,7.75,8.24,7.75,8.16,103300
AXTI,26-Jun-2001,21.5,22.63,20.35,22.5,350900
AZPN,26-Jun-2001,22.27,23.7,21.99,22.75,97300
BANF,26-Jun-2001,20.07,20.075,19.535,19.595,1200
BANR,26-Jun-2001,161,161.371,159.11,160.16,75700
BBBY,26-Jun-2001,29.73,30.78,29.02,30.69,7075100
BBGI,26-Jun-2001,12.8,14,12.8,13.79,4000
BBSI,26-Jun-2001,2.4,2.4,2.4,2.4,1650
BCPC,26-Jun-2001,3.462,3.462,3.442,3.462,2200
BCRX,26-Jun-2001,4.99,5.23,4.75,5.21,33700
BELFA,26-Jun-2001,27.87,27.92,27.5,27.5,3100
BELFB,26-Jun-2001,27.9,28.47,27.53,28.22,20900
BIIB,26-Jun-2001,58.9511,60.3328,57.5694,57.8826,2999200
BJRI,26-Jun-2001,4.62,5.3,4.55,5.17,68300
BKSC,26-Jun-2001,11.4876,11.4876,11.4876,11.4876,121
BLDP,26-Jun-2001,43.5,46.18,42.83,45.14,523200
BLUE,26-Jun-2001,16.1,21.35,15.925,20.86,189257
BMRC,26-Jun-2001,6.1189,6.1189,6.1189,6.1189,1212
BMRN,26-Jun-2001,12.76,12.87,12.64,12.87,85100
BMTC,26-Jun-2001,15.15,15.15,15.15,15.15,400
BNSO,26-Jun-2001,4.65,4.95,4.61,4.9,26400
BOKF,26-Jun-2001,23.6015,23.9858,23.2081,23.8028,81626
BOOM,26-Jun-2001,1.48,1.485,1.425,1.425,12500
BOSC,26-Jun-2001,37.92,37.92,33.6,36,2850
BPOP,26-Jun-2001,159,159.3,154.1,154.1,269200
BRID,26-Jun-2001,13.125,13.13,13,13,4400
BRKL,26-Jun-2001,6.3558,6.4244,6.3558,6.4016,50081
BRKR,26-Jun-2001,16.3,16.34,15.36,15.36,204500
BRKS,26-Jun-2001,44.01,44.01,38.73,43.21,2139800
BRLI,26-Jun-2001,1.505,1.6,1.495,1.6,33900
BSET,26-Jun-2001,12.92,13.14,12.92,13.04,17900
BSML,26-Jun-2001,59.16,59.28,55.2,58.86,48815
BSQR,26-Jun-2001,39.4,44.08,39,42.16,72400
BSRR,26-Jun-2001,6.73,6.73,6.73,6.73,400
BUSE,26-Jun-2001,13.62,13.8267,13.44,13.7067,10500
BYFC,26-Jun-2001,5.32,5.57,5.125,5.57,4200
CACC,26-Jun-2001,6.91,7.15,6.91,7.05,171800
CAKE,26-Jun-2001,17.3,17.3067,16.3333,16.5933,1117800
CALM,26-Jun-2001,1.1625,1.1625,1.15,1.1625,7600
CAMP,26-Jun-2001,4.67,4.8,4.25,4.52,100400
CAMT,26-Jun-2001,5,5.1,5,5.1,27300
CASA,26-Jun-2001,3,3,3,3,1600
CASH,26-Jun-2001,4.1333,4.1333,4.1167,4.1167,1400
CASS,26-Jun-2001,11.03,11.261,11.03,11.261,7852
CASY,26-Jun-2001,12.2,12.68,12.2,12.6,207600
CATY,26-Jun-2001,13.1175,13.1225,13.115,13.1175,49200
CBAN,26-Jun-2001,6.752,6.752,6.752,6.752,0
CBRL,26-Jun-2001,16.48,16.82,16.38,16.54,241700
CBSH,26-Jun-2001,29.823,30.1932,29.6996,30.1603,325876
CCBG,26-Jun-2001,14.72,14.752,14.7136,14.72,41093
CCMP,26-Jun-2001,56.72,57.6,53.75,56.6,1214300
CCNE,26-Jun-2001,7.6,7.6,7.4,7.4,6250
CDZI,26-Jun-2001,248.25,248.25,235.75,238.75,5976
CECE,26-Jun-2001,1.89,1.89,1.89,1.89,2000
CENT,26-Jun-2001,7.55,7.9,7.55,7.8,25200
CENX,26-Jun-2001,15.84,16.04,14.75,16.01,353200
CERN,26-Jun-2001,5.4263,5.4438,5.1575,5.27,517100
CERS,26-Jun-2001,65.51,68.89,65.51,68.46,40900
CFFI,26-Jun-2001,16.48,16.48,15.9,15.9,2600
CFFN,26-Jun-2001,18.45,18.81,18.45,18.6,95800
CGEN,26-Jun-2001,3.99,4.36,3.9,4.32,52900
CGNX,26-Jun-2001,6.315,6.825,6.2,6.775,289200
CHCO,26-Jun-2001,11,11.64,10.38,11.42,26000
CHDN,26-Jun-2001,9.3333,9.3333,9.2667,9.31,29100
CHKP,26-Jun-2001,47.3,51.9075,47.08,51.37,8748400
CHNR,26-Jun-2001,3.4,3.4,3.25,3.25,400
CHRS,26-Jun-2001,5.3,5.42,5.18,5.37,1194400
CHRW,26-Jun-2001,13.05,13.625,13,13.505,274400
CHTR,26-Jun-2001,22.22,22.67,22.08,22.46,1488500
CINF,26-Jun-2001,36.2358,36.9614,36.1451,36.9251,243982
CLBK,26-Jun-2001,13.44,13.44,13.44,13.44,0
CLRO,26-Jun-2001,10.95,11,10.41,10.74,41700
CLWT,26-Jun-2001,2.3771,2.7533,2.3771,2.6862,6006
CMCO,26-Jun-2001,9.25,9.45,9.22,9.31,2500
CMCSA,26-Jun-2001,13.8335,14.0305,13.4735,13.927,101300
CMLS,26-Jun-2001,87.2,91.2,87.2,88.08,256200
CMTL,26-Jun-2001,5.4667,5.6178,5.3333,5.5555,72900
CNBKA,26-Jun-2001,20.35,20.35,20.35,20.35,0
CNET,26-Jun-2001,11.05,11.76,10.93,11.21,758100
CNOB,26-Jun-2001,21.25,22.6,21.25,21.95,21700
CNTY,26-Jun-2001,2.1,2.12,2.09,2.1,15900
COCO,26-Jun-2001,10.125,10.82,10.0625,10.5525,1492400
COHR,26-Jun-2001,31.25,32.66,30.75,32.35,208100
COHU,26-Jun-2001,19.2,21.9,19.2,21,141400
COKE,26-Jun-2001,39.55,39.85,39.51,39.51,2900
COLB,26-Jun-2001,11.7551,11.7914,11.0657,11.61,23041
COLM,26-Jun-2001,21.74,22.44,21.625,22.055,77700
COMS,26-Jun-2001,4.95,4.96,4.58,4.84,4179800
COOL,26-Jun-2001,793.8,793.8,676.2,676.2,357
COOP,26-Jun-2001,5.447,5.447,5.447,5.447,0
COST,26-Jun-2001,41.41,41.62,39.98,40.34,6200400
CPRT,26-Jun-2001,4.5834,4.7167,4.5667,4.675,2240400
CPSS,26-Jun-2001,1.51,1.55,1.51,1.55,1200
CRAI,26-Jun-2001,16.36,17.67,16.1,17,62300
CRESY,26-Jun-2001,10.15,10.41,10.15,10.41,1300
CRIS,26-Jun-2001,23.6,24.5,23.5,24,59800
CRMT,26-Jun-2001,2.5,2.5,2.5,2.5,12750
CRNT,26-Jun-2001,3.25,3.25,3.12,3.12,152100
CRUS,26-Jun-2001,18.4,19.27,18.12,18.63,909300
CRVL,26-Jun-2001,8.282,8.282,8.006,8.1375,10500
CSCO,26-Jun-2001,17.97,18.1,17.65,18.02,62782100
CSGP,26-Jun-2001,25.29,27.1,25.2899,26.4,25300
CSGS,26-Jun-2001,55.65,56.25,54.11,55.45,309900
CSPI,26-Jun-2001,3.62,3.63,3.62,3.62,1900
CSTL,26-Jun-2001,0.83,0.83,0.83,0.83,400
CSTR,26-Jun-2001,19.87,20.18,18.69,18.89,236900
CSWC,26-Jun-2001,16,17.25,16,17,3800
CSX,26-Jun-2001,5.375,5.4983,5.2667,5.4417,1557800
CTAS,26-Jun-2001,45.53,45.75,44.9,45.26,1016600
CTBI,26-Jun-2001,17.1375,17.2426,16.7694,17.2426,11313
CTEC,26-Jun-2001,7.55,7.99,7.55,7.94,47300
CTHR,26-Jun-2001,1,1.1429,1,1.1429,6089
CTIB,26-Jun-2001,1.4532,1.4532,1.4532,1.4532,0
CTIC,26-Jun-2001,4810,5064,4750,4920,71500
CTSH,26-Jun-2001,1.6125,1.6565,1.5865,1.6565,280800
CTXS,26-Jun-2001,24.8248,25.4777,24.4825,25.4618,4286000
CUBA,26-Jun-2001,4.08,4.2,4.08,4.2,2200
CVBF,26-Jun-2001,6.926,7.075,6.889,7.075,67460
CVCY,26-Jun-2001,4.5,4.5,4.5,4.5,400
CVLY,26-Jun-2001,12.7519,12.7519,12.7519,12.7519,0
CWBC,26-Jun-2001,6.2,6.2,6.2,6.2,4000
CWCO,26-Jun-2001,4.65,4.65,4.45,4.45,4000
CWST,26-Jun-2001,10.5,10.59,9.9,9.99,247600
CYAN,26-Jun-2001,6.08,6.12,4.8,5.6,12900
CYBE,26-Jun-2001,10.89,10.92,10.55,10.57,91000
CYTO,26-Jun-2001,46,52,44,50,172950
CZNC,26-Jun-2001,13.5979,13.5979,13.5979,13.5979,0
DAIO,26-Jun-2001,2.25,2.25,1.9,2.2,14100
DAKT,26-Jun-2001,7.395,8.185,7.39,8.125,244300
DCOM,26-Jun-2001,8.9778,9.2148,8.8741,9.2148,287212
DDMX,26-Jun-2001,2.05,2.05,2.01,2.01,1100
DENN,26-Jun-2001,0.68,0.7,0.58,0.67,141600
DGICA,26-Jun-2001,7.285,7.285,7.285,7.285,933
DGICB,26-Jun-2001,8.7077,8.7077,8.7077,8.7077,399
DGII,26-Jun-2001,8.23,8.25,8.1,8.16,34500
DHIL,26-Jun-2001,5,5.05,4.75,5,3840
DIOD,26-Jun-2001,2.671,2.671,2.614,2.614,32000
DISH,26-Jun-2001,28.2,29.5,27.9,28.9,1051100
DJCO,26-Jun-2001,26,26,26,26,900
DLTR,26-Jun-2001,8.62,8.6734,8.47,8.5634,1738900
DMRC,26-Jun-2001,24.08,25.49,24.08,25.32,115000
DRIV,26-Jun-2001,5.04,5.08,4.77,4.87,107200
DRRX,26-Jun-2001,12.51,12.51,10.31,11.04,118500
DSGX,26-Jun-2001,15,15.47,14.6,14.82,102700
DSPG,26-Jun-2001,17.1868,18.3137,17.1868,17.524,663200
DSWL,26-Jun-2001,7.2222,7.2222,7.0667,7.1111,5400
DWSN,26-Jun-2001,9.9,10,9.9,10,2600
DXPE,26-Jun-2001,1.23,1.23,1.23,1.23,9400
DXYN,26-Jun-2001,4.23,4.4,4.08,4.4,26200
DYNT,26-Jun-2001,11.75,11.95,11.75,11.8,10200
EBAY,26-Jun-2001,7.3526,7.4474,7.1326,7.1958,22221600
EBIX,26-Jun-2001,1.5911,1.5911,1.5911,1.5911,62
ECHO,26-Jun-2001,2.6,2.72,2.44,2.72,2150
ECOL,26-Jun-2001,2.49,2.5,2.35,2.5,3000
ECPG,26-Jun-2001,0.5,0.5,0.5,0.5,6000
EDAP,26-Jun-2001,2.7,2.7,2.61,2.69,3800
EDUC,26-Jun-2001,1.715,1.715,1.685,1.685,3200
EEFT,26-Jun-2001,7.32,7.39,7.25,7.29,51800
EFSC,26-Jun-2001,12.5,12.5,11.5,12.25,2400
EGBN,26-Jun-2001,8.7692,8.7692,8.7692,8.7692,0
EGLE,26-Jun-2001,20160,20563.2,20160,20563.2,1550
ELSE,26-Jun-2001,3.75,3.75,3.6,3.6,900
ELTK,26-Jun-2001,4.25,4.25,3.8,4.18,24100
EMKR,26-Jun-2001,101.44,110.92,100.48,107.2,340700
ENDP,26-Jun-2001,10.56,10.9,10.48,10.69,52600
ENTG,26-Jun-2001,10.65,10.65,10.09,10.19,454400
EPAY,26-Jun-2001,5.27,5.41,5.06,5.3,46500
EPIX,26-Jun-2001,210.6,214,205,214,24000
EQIX,26-Jun-2001,35.52,38.4,34.56,36.16,5109
ERES,26-Jun-2001,0.7852,0.7926,0.7852,0.7867,20250
ERIE,26-Jun-2001,34,34,32.7099,32.85,51000
ESBK,26-Jun-2001,16.5632,16.5632,16.5632,16.5632,1464
ESCA,26-Jun-2001,3.9167,3.9167,3.9167,3.9167,0
ESGR,26-Jun-2001,18,18,18,18,1200
ESLT,26-Jun-2001,14.96,15.05,14.92,15,26000
EVOL,26-Jun-2001,5.15,5.35,4.95,5.3,63800
EWBC,26-Jun-2001,12.48,12.545,12.165,12.525,381000
EWEB,26-Jun-2001,3.8,4.4,3.8,4.1,1420
EXAS,26-Jun-2001,12.05,12.49,12.05,12.1,61900
EXEL,26-Jun-2001,16.45,16.7,16.26,16.37,165700
EXPD,26-Jun-2001,14.625,14.77,14.423,14.603,462400
EXPO,26-Jun-2001,5.26,5.5,5.255,5.5,14800
EXTR,26-Jun-2001,23.51,25.93,22.6,25.39,6279600
EZPW,26-Jun-2001,0.766,0.766,0.766,0.766,200
FARM,26-Jun-2001,23.4,23.4,23.4,23.4,0
FARO,26-Jun-2001,2.75,2.85,2.68,2.84,16000
FAST,26-Jun-2001,3.6883,3.6958,3.6188,3.6313,370600
FBNC,26-Jun-2001,16.5667,16.66,16.3467,16.4,15150
FCAP,26-Jun-2001,11,11,11,11,500
FCBC,26-Jun-2001,23.8347,24.3636,23.281,24.3636,12705
FCCO,26-Jun-2001,11.8,11.8,11.8,11.8,0
FCCY,26-Jun-2001,13.45,13.45,13.35,13.35,2800
FCEL,26-Jun-2001,3600,3682.08,3358.08,3584.16,1980500
FCFS,26-Jun-2001,1.149,1.149,1.135,1.135,16500
FCNCA,26-Jun-2001,102.45,112.25,102.45,107.82,10500
FELE,26-Jun-2001,9.0313,9.1188,8.9413,8.9413,35600
FFBC,26-Jun-2001,14.77,15.34,14.76,15.33,40200
FFIC,26-Jun-2001,10.6667,10.6889,10.28,10.4355,29025
FFIN,26-Jun-2001,3,3,2.953,3,4666
FFIV,26-Jun-2001,3.78,4.265,3.773,4.26,1260600
FISI,26-Jun-2001,21.88,22.05,21.72,21.72,7000
FISV,26-Jun-2001,10.185,10.4084,10.145,10.3984,2112150
FITB,26-Jun-2001,61.18,62.32,60.98,61.79,1228400
FLEX,26-Jun-2001,22.86,24.74,22.8,23.99,5931200
FLIC,26-Jun-2001,18,18,18,18,0
FLWS,26-Jun-2001,11.61,12.1,11.56,12,164800
FLXS,26-Jun-2001,11.75,11.95,11.75,11.95,400
FMBI,26-Jun-2001,22.32,23.448,22.32,23.4,224625
FNLC,26-Jun-2001,6,6,6,6,1500
FONR,26-Jun-2001,1.58,1.64,1.54,1.55,108900
