Symbol,Date,Open,High,Low,Close,Volume
AAL,05-Feb-2016,37.71,38.49,36.53,36.75,10072700
AAME,05-Feb-2016,4.5,4.5,4.5,4.5,1000
AAOI,05-Feb-2016,16.07,16.14,15.43,15.45,184600
AAON,05-Feb-2016,20.85,20.99,20.16,20.21,135300
AAPL,05-Feb-2016,24.13,24.23,23.4225,23.505,46418000
AAWW,05-Feb-2016,35.3,36.64,35.3,35.61,332000
AAXJ,05-Feb-2016,49.09,49.23,48.46,48.65,922800
ABCB,05-Feb-2016,27.48,27.58,26.58,26.58,191600
ABEO,05-Feb-2016,2.45,2.64,2.35,2.4,33700
ABIO,05-Feb-2016,69.48,70.38,64.26,65.7,12600
ABMD,05-Feb-2016,92,92.5,81.09,81.53,1516500
ABTX,05-Feb-2016,19.18,19.37,18.83,18.99,34600
ABUS,05-Feb-2016,3.17,3.21,3.06,3.13,186500
ACAD,05-Feb-2016,19.9,20.62,19.23,19.36,2686700
ACBI,05-Feb-2016,13.29,13.29,12.39,13.12,22300
ACET,05-Feb-2016,22.62,22.62,20.31,20.34,457200
ACGL,05-Feb-2016,22.0633,22.21,21.9433,21.98,483100
ACHC,05-Feb-2016,60.11,60.69,57.85,58.96,762600
ACIW,05-Feb-2016,17.44,17.6,16.63,16.63,624300
ACLS,05-Feb-2016,9.92,9.92,9.48,9.68,595000
ACNB,05-Feb-2016,21.91,21.91,21.83,21.83,300
ACOR,05-Feb-2016,37.22,37.64,36.42,36.67,491700
ACRS,05-Feb-2016,22.62,22.87,21.54,21.54,30800
ACRX,05-Feb-2016,3.6,3.74,3.5,3.52,175600
ACST,05-Feb-2016,1.45,1.58,1.45,1.58,2000
ACTG,05-Feb-2016,3.71,3.82,3.58,3.62,408700
ACWI,05-Feb-2016,52.04,52.07,51.15,51.32,2892000
ACWX,05-Feb-2016,36.81,36.85,36.33,36.47,1885800
ADAP,05-Feb-2016,7.57,7.68,7.07,7.12,125900
ADBE,05-Feb-2016,85.5,85.5,77.83,79.2,10644100
ADI,05-Feb-2016,51.4,51.81,49.56,49.82,2505900
ADMA,05-Feb-2016,5.58,5.59,5.5,5.54,15200
ADMP,05-Feb-2016,4.7,4.75,4.6,4.68,45900
ADMS,05-Feb-2016,16.25,16.5,15.04,15.25,392200
ADP,05-Feb-2016,82.8,82.99,80.94,81.31,2248200
ADRE,05-Feb-2016,26.91,26.91,26.57,26.59,3900
ADSK,05-Feb-2016,48.98,49.24,45.82,46.17,3490900
ADTN,05-Feb-2016,18.86,19.06,18.27,18.29,641600
ADUS,05-Feb-2016,21.43,21.86,20.24,20.28,63200
ADXS,05-Feb-2016,102.15,104.1,93.75,95.25,755700
AEHR,05-Feb-2016,1.2,1.2,1.16,1.2,5100
AEIS,05-Feb-2016,28.3,28.3,27.63,27.76,264200
AEMD,05-Feb-2016,90,90.9,64.05,73.5,84100
AERI,05-Feb-2016,16.18,16.51,15.05,15.22,379500
AEY,05-Feb-2016,1.81,1.81,1.8,1.8,5800
AEZS,05-Feb-2016,3.08,3.18,2.96,3.09,205500
AFMD,05-Feb-2016,3.28,3.42,3.11,3.2,254100
AGEN,05-Feb-2016,3.02,3.1,2.96,3,1221100
AGFS,05-Feb-2016,5.51,5.51,5.08,5.18,87800
AGIO,05-Feb-2016,37.86,38.4,33.5,38,2644300
AGNC,05-Feb-2016,17.9,17.91,17.73,17.79,8098700
AGNCP,05-Feb-2016,25.53,25.56,25.21,25.56,15300
AGRX,05-Feb-2016,6.17,6.17,5.75,5.76,87400
AGTC,05-Feb-2016,14.29,14.7,13.56,14.15,90400
AGYS,05-Feb-2016,9.89,10.84,9.67,9.72,67700
AGZD,05-Feb-2016,47.2,47.26,47.03,47.26,4100
AHPI,05-Feb-2016,0.84,0.84,0.84,0.84,0
AIA,05-Feb-2016,38.61,38.71,38.05,38.18,48900
AIMC,05-Feb-2016,22.12,22.19,21.64,21.7,161200
AINV,05-Feb-2016,15.36,15.6,15.21,15.36,1349500
AIQ,05-Feb-2016,7.26,7.26,6.8,6.8,24700
AIRR,05-Feb-2016,14.94,14.97,14.75,14.77,33400
AIRT,05-Feb-2016,21.5,23.99,21.5,21.97,5100
AKAM,05-Feb-2016,44.15,44.19,42.88,43.2,2629200
AKBA,05-Feb-2016,7.64,7.87,7.38,7.44,312000
AKTX,05-Feb-2016,12.44,12.44,12.44,12.44,0
ALCO,05-Feb-2016,27.8,27.8,26.9,26.91,24800
ALDX,05-Feb-2016,4.49,4.49,3.97,4.15,5000
ALGN,05-Feb-2016,67.1,67.34,65.02,65.87,558500
ALGT,05-Feb-2016,157.38,162.75,148,148.65,189600
ALIM,05-Feb-2016,2.35,2.39,2.17,2.2,93600
ALKS,05-Feb-2016,33.14,33.36,31.14,32.17,3070800
ALLT,05-Feb-2016,5.36,5.36,5.09,5.2,111000
ALNY,05-Feb-2016,67.22,68.01,63.7,65.59,1326200
ALOT,05-Feb-2016,15.28,15.28,14.98,15.24,2300
ALRM,05-Feb-2016,15.92,16.26,15.76,15.88,375700
ALTY,05-Feb-2016,13.02,13.02,13.02,13.02,0
AMAT,05-Feb-2016,17.42,17.5,16.69,16.81,16145100
AMBA,05-Feb-2016,39.02,39.31,37.32,37.43,1080800
AMCX,05-Feb-2016,70.18,70.86,67.96,68.36,800200
AMD,05-Feb-2016,2.06,2.08,1.98,1.98,7914400
AMED,05-Feb-2016,34.46,34.46,31.85,31.85,292800
AMGN,05-Feb-2016,148.93,149.38,143.69,145.04,6451900
AMKR,05-Feb-2016,5.51,5.64,5.35,5.36,1083700
AMNB,05-Feb-2016,24.45,24.94,23.61,23.62,24700
AMOT,05-Feb-2016,17.68,17.84,17,17.05,76300
AMPH,05-Feb-2016,11,11.31,10.95,11.05,283900
AMRK,05-Feb-2016,16,17.26,15.84,17.26,60400
AMRN,05-Feb-2016,1.46,1.5,1.36,1.38,654900
AMRS,05-Feb-2016,21.9,22.35,21.45,21.75,23100
AMSC,05-Feb-2016,6.85,6.85,6.73,6.76,72200
AMSF,05-Feb-2016,49.12,49.95,48.61,48.74,123400
AMSWA,05-Feb-2016,9.43,9.43,9.09,9.09,69100
AMTX,05-Feb-2016,1.95,2.13,1.95,1.95,17000
AMWD,05-Feb-2016,63.42,64.97,60.19,61.37,207900
AMZN,05-Feb-2016,529.28,529.45,499.19,502.13,9708900
ANAT,05-Feb-2016,95.82,96,94.07,95.36,30700
ANDE,05-Feb-2016,27.85,28.56,27.49,27.57,158100
ANGI,05-Feb-2016,9.45,9.58,9.28,9.44,1290000
ANGO,05-Feb-2016,10.59,10.75,10.22,10.27,104900
ANIK,05-Feb-2016,37.97,38.26,37.29,37.63,142900
ANIP,05-Feb-2016,31.99,32.17,30.18,30.61,186200
ANSS,05-Feb-2016,88.11,88.14,84.51,84.7,410200
ANY,05-Feb-2016,1.5,1.56,1.41,1.53,208100
AOSL,05-Feb-2016,11,11.5,10.9,11.06,215500
APDN,05-Feb-2016,124.8,126,120.4,120.8,48900
APEI,05-Feb-2016,15.19,15.27,14.74,14.84,176100
APOG,05-Feb-2016,37.52,37.91,36.26,36.42,169200
APPF,05-Feb-2016,13.2,13.24,12.78,13.09,225600
APPS,05-Feb-2016,1.38,1.41,1.24,1.25,120300
APTO,05-Feb-2016,2.82,2.84,2.54,2.76,22700
APWC,05-Feb-2016,1.55,1.55,1.55,1.55,0
AQMS,05-Feb-2016,4.84,4.92,4.84,4.89,800
ARAY,05-Feb-2016,5.58,5.59,5.31,5.34,728100
ARCB,05-Feb-2016,18.33,18.84,17.89,18.39,359200
ARCC,05-Feb-2016,13.59,13.74,13.56,13.6,1575300
ARDX,05-Feb-2016,9.94,10.03,9.65,9.82,212400
ARKR,05-Feb-2016,21.13,21.13,20.72,20.94,2900
ARLP,05-Feb-2016,13.87,14.22,13.19,13.37,314500
ARNA,05-Feb-2016,15.7,16.6,15.4,15.7,2314900
AROW,05-Feb-2016,26.26,26.57,26.1,26.1,30000
ARRY,05-Feb-2016,3,3.05,2.89,2.91,2600900
ARTNA,05-Feb-2016,29.47,30.55,28.84,29.22,32200
ARTW,05-Feb-2016,2.97,2.99,2.92,2.95,2800
ARWR,05-Feb-2016,3.73,3.73,3.46,3.46,792600
ASET,05-Feb-2016,23.75,23.75,23.75,23.75,0
ASMB,05-Feb-2016,5.34,5.68,5,5.1,62600
ASML,05-Feb-2016,89.92,89.92,88.05,88.36,892900
ASND,05-Feb-2016,18.9,19.18,18.01,18.91,39500
ASPS,05-Feb-2016,28.88,28.98,26.4,26.56,434400
ASRV,05-Feb-2016,3.19,3.19,3.15,3.16,8500
ASTC,05-Feb-2016,1.17,1.2,1.11,1.15,16900
ASTE,05-Feb-2016,36.72,37.44,36.58,37.11,113800
ASUR,05-Feb-2016,5.46,5.59,5.43,5.51,37000
ASYS,05-Feb-2016,5.23,5.62,5.05,5.18,99100
ATAI,05-Feb-2016,5.55,5.59,5.22,5.55,25300
ATAX,05-Feb-2016,4.98,5.04,4.96,5,76600
ATEC,05-Feb-2016,4.8,5.04,4.68,4.8,32200
ATHX,05-Feb-2016,1.23,1.26,1.2,1.23,200400
ATLC,05-Feb-2016,3.1,3.1,3.1,3.1,0
ATLO,05-Feb-2016,23.86,23.98,23.49,23.49,19100
ATNI,05-Feb-2016,75.79,77.07,73.89,74.62,75700
ATOS,05-Feb-2016,45,46.8,43.2,46.8,174800
ATRA,05-Feb-2016,18.65,19.6,16.95,17.16,185100
ATRC,05-Feb-2016,17.66,17.82,16.81,16.94,167600
ATRI,05-Feb-2016,378.32,387.82,365.1,367.4,4000
ATRO,05-Feb-2016,30.43,31.72,29.34,29.39,145000
ATRS,05-Feb-2016,1.1,1.14,1.04,1.08,763100
ATSG,05-Feb-2016,9.52,9.64,9.39,9.47,193800
ATVI,05-Feb-2016,31.77,31.8,30.39,30.53,17261300
AUBN,05-Feb-2016,26.75,26.77,26.6,26.6,8400
AUDC,05-Feb-2016,4.26,4.35,4.19,4.31,73600
AUPH,05-Feb-2016,2.17,2.21,2.16,2.19,8700
AVAV,05-Feb-2016,24.81,24.96,24.17,24.18,102400
AVEO,05-Feb-2016,10,10,9.5,9.5,276600
AVGO,05-Feb-2016,137,137,126.98,128.36,7095300
AVGR,05-Feb-2016,5644,5964,5200,5208,75900
AVID,05-Feb-2016,7.36,7.59,7.25,7.45,235600
AVNW,05-Feb-2016,8.28,8.76,8.04,8.16,49500
AVXL,05-Feb-2016,4.7,4.74,4.52,4.64,722600
AWRE,05-Feb-2016,2.92,3.07,2.89,2.93,4400
AXDX,05-Feb-2016,13.04,13.22,12.5,12.69,369200
AXGN,05-Feb-2016,5.03,5.07,4.99,5.06,40400
AXSM,05-Feb-2016,7.29,7.58,7.21,7.21,10300
AXTI,05-Feb-2016,2.82,2.83,2.74,2.78,28500
AZPN,05-Feb-2016,32.44,32.67,31.24,31.26,1371600
BANF,05-Feb-2016,54.91,55.39,54.2,54.21,23800
BANFP,05-Feb-2016,27.05,27.05,27.05,27.05,0
BANR,05-Feb-2016,40.03,40.58,39.24,39.24,78900
BANX,05-Feb-2016,15.47,15.57,15.04,15.55,7300
BBBY,05-Feb-2016,43.03,43.7,42.6,43.42,2527100
BBGI,05-Feb-2016,3.2,3.2,3.2,3.2,0
BBH,05-Feb-2016,100.48,100.81,96.37,97.91,237600
BBSI,05-Feb-2016,35.48,35.57,33.73,34.9,98400
BCBP,05-Feb-2016,10.14,10.22,10.05,10.08,5900
BCLI,05-Feb-2016,2.37,2.45,2.33,2.33,22400
BCOR,05-Feb-2016,8.51,8.51,8.08,8.08,339800
BCOV,05-Feb-2016,5.51,5.52,5.08,5.12,366700
BCPC,05-Feb-2016,62.58,63.17,61.2,61.42,148200
BCRX,05-Feb-2016,6.62,6.74,6.09,6.14,1352500
BDSI,05-Feb-2016,3.96,4.02,3.72,3.73,602400
BECN,05-Feb-2016,42.5,43.25,36.57,37.75,1829800
BELFA,05-Feb-2016,12.25,12.25,12.25,12.25,0
BELFB,05-Feb-2016,14.04,14.23,13.91,14.04,32900
BFIN,05-Feb-2016,11.97,12.13,11.97,12,45100
BGCP,05-Feb-2016,8.88,8.91,8.65,8.67,1546500
BGFV,05-Feb-2016,11.58,11.62,11.17,11.34,146700
BGNE,05-Feb-2016,31.3,35.6,30.63,33.91,376500
BHACU,05-Feb-2016,10.12,10.12,10.12,10.12,0
BIB,05-Feb-2016,42.43,42.92,39.1,40.16,974300
BICK,05-Feb-2016,17.18,17.18,17.18,17.18,100
BIDU,05-Feb-2016,151.85,152.03,144.48,145.34,4126800
BIIB,05-Feb-2016,249.7132,251.1594,238.0704,243.0444,2856900
BIOC,05-Feb-2016,42.9,46.8,41.7,45.9,285500
BIOL,05-Feb-2016,4.5,4.7,4.45,4.7,7500
BIS,05-Feb-2016,44.82,48.68,44.74,47.51,584600
BJRI,05-Feb-2016,41.21,41.58,40.33,41.04,352800
BKCC,05-Feb-2016,8.87,8.89,8.67,8.7,185600
BKEP,05-Feb-2016,4.5,4.63,4.41,4.63,33800
BKEPP,05-Feb-2016,6.44,6.44,6.19,6.31,11500
BKSC,05-Feb-2016,15.89,15.89,15.89,15.89,300
BLBD,05-Feb-2016,9.67,9.75,9.49,9.6,33400
BLCM,05-Feb-2016,114.4,114.4,104.5,105,254000
BLDP,05-Feb-2016,1.43,1.43,1.29,1.35,373900
BLFS,05-Feb-2016,1.85,1.86,1.85,1.85,12100
BLIN,05-Feb-2016,27,36.5,21.5,35,21200
BLKB,05-Feb-2016,58.94,58.99,53.59,53.68,464300
BLMN,05-Feb-2016,17.31,17.31,16.58,16.62,1198500
BLPH,05-Feb-2016,32.4,32.55,28.5,30.45,33000
BLRX,05-Feb-2016,15,15.6,14.85,15,38600
BLUE,05-Feb-2016,49.15,49.39,46.68,47.73,1567200
BMRC,05-Feb-2016,25.53,25.59,25.375,25.375,17300
BMRN,05-Feb-2016,70.75,71.58,66.2,68.41,2239100
BMTC,05-Feb-2016,25.11,25.57,24.88,25.29,114800
BNDX,05-Feb-2016,53.65,53.7,53.61,53.69,495500
BNFT,05-Feb-2016,28.84,29.47,25.13,25.32,182700
BNSO,05-Feb-2016,1.35,1.38,1.35,1.37,2000
BNTC,05-Feb-2016,35.7,35.7,35.7,35.7,0
BOKF,05-Feb-2016,50.36,51.17,49.15,49.45,454100
BOOM,05-Feb-2016,6.31,6.42,6.27,6.33,50900
BOSC,05-Feb-2016,1.76,1.8,1.69,1.72,10700
BOTJ,05-Feb-2016,12.3,12.3,12.23,12.3,4800
BPMC,05-Feb-2016,15.23,16.81,14.81,14.9,119000
BPOP,05-Feb-2016,25.04,25.42,24.68,25.08,757900
BPOPM,05-Feb-2016,19,19,19,19,100
BPOPN,05-Feb-2016,20.17,20.17,19.75,20,2600
BPTH,05-Feb-2016,276,282,262,270,42800
BRID,05-Feb-2016,9.12,9.12,9.06,9.06,300
BRKL,05-Feb-2016,10.74,10.81,10.44,10.44,283400
BRKR,05-Feb-2016,22.34,22.48,21.95,21.99,1263600
BRKS,05-Feb-2016,9.28,9.38,8.8,8.94,502300
BSET,05-Feb-2016,28.75,29.37,27.44,27.54,91400
BSQR,05-Feb-2016,5.7,5.82,5.5,5.51,51300
BSRR,05-Feb-2016,17.37,17.45,16.84,16.85,56000
BUSE,05-Feb-2016,18.88,19.13,18.64,18.69,142000
BVXV,05-Feb-2016,3.5,3.5,3.5,3.5,0
BWEN,05-Feb-2016,2.01,2.02,1.88,1.99,141300
BWFG,05-Feb-2016,19.5,19.5,19.45,19.45,3900
BYFC,05-Feb-2016,1.5,1.5,1.5,1.5,0
BZUN,05-Feb-2016,6,6.13,5.83,5.96,182200
CAAS,05-Feb-2016,3.85,3.89,3.8,3.8,20600
CAC,05-Feb-2016,37.9,39.98,37.9,38.38,52400
CACC,05-Feb-2016,172.81,179.84,169.5,174.95,137500
CAKE,05-Feb-2016,48.83,48.83,47.23,47.29,771000
CALA,05-Feb-2016,4.79,4.92,4.72,4.76,59600
CALM,05-Feb-2016,48.6,48.79,46.39,46.51,501200
CAMP,05-Feb-2016,17.41,17.41,16.54,16.65,349700
CAMT,05-Feb-2016,1.88,2.02,1.87,1.96,17800
CAPR,05-Feb-2016,28.4,28.4,24.5,27.7,17100
CAR,05-Feb-2016,26.57,26.57,25.33,25.9,3611400
CARA,05-Feb-2016,8.62,8.78,7.83,7.88,358500
CARV,05-Feb-2016,3.29,3.38,3.15,3.19,6200
CARZ,05-Feb-2016,30.24,30.6,29.82,30.09,13600
CASH,05-Feb-2016,13.3667,13.83,13.0567,13.5567,47600
CASI,05-Feb-2016,1.01,1.01,0.88,0.9,36900
CASS,05-Feb-2016,50.01,50.01,48.52,48.52,31500
CASY,05-Feb-2016,119.18,119.47,113.64,113.69,293900
CATY,05-Feb-2016,27.45,27.9,26.88,26.9,592700
CBAN,05-Feb-2016,9.31,9.31,9.27,9.27,18600
CBAY,05-Feb-2016,1.26,1.3,1.19,1.21,86900
CBFV,05-Feb-2016,19.6,19.6,19.55,19.55,600
CBIO,05-Feb-2016,35.7,35.7,31.8,33,6300
CBNK,05-Feb-2016,17.98,17.98,17.98,17.98,0
CBRL,05-Feb-2016,130.59,131.02,127.11,127.36,526100
CBSH,05-Feb-2016,41.32,41.83,41.03,41.13,594900
CCBG,05-Feb-2016,14.14,14.22,13.8,13.8,33600
CCD,05-Feb-2016,16.59,16.59,16.15,16.23,59100
CCLP,05-Feb-2016,5.21,5.77,4.81,5.04,101400
CCMP,05-Feb-2016,38.87,39.43,38.34,39.18,187300
CCNE,05-Feb-2016,17.33,17.51,17.14,17.16,37700
CCOI,05-Feb-2016,33.56,33.85,32.3,32.74,371800
CCRN,05-Feb-2016,12.97,12.97,11.73,11.86,483200
CCXI,05-Feb-2016,3.67,4,3.54,3.6,102900
CDC,05-Feb-2016,34.77,34.82,34.69,34.69,6100
CDK,05-Feb-2016,44.16,44.89,43.32,44.31,1285800
CDL,05-Feb-2016,33.84,33.88,33.77,33.77,2100
CDNA,05-Feb-2016,4.64,4.84,4.32,4.32,19300
CDNS,05-Feb-2016,20.31,20.4,19.9,20,6054500
CDTX,05-Feb-2016,10.84,11.43,10.41,10.92,30100
CDW,05-Feb-2016,37.48,37.93,35.93,36.22,2205700
CDXS,05-Feb-2016,3.96,3.96,3.85,3.91,49400
CDZI,05-Feb-2016,5.33,5.73,5.3,5.5,73100
CECE,05-Feb-2016,7.74,7.8,7.44,7.48,152500
CEMI,05-Feb-2016,5.07,5.07,4.98,5,13100
CENT,05-Feb-2016,14.75,14.98,14.4,14.82,211200
CENTA,05-Feb-2016,14.19,14.34,13.78,14.04,359300
CENX,05-Feb-2016,4.76,5.12,4.44,4.56,3778400
CERE,05-Feb-2016,0.24,0.25,0.24,0.24,55000
CERN,05-Feb-2016,58.36,58.43,55.04,55.31,2342400
CERS,05-Feb-2016,5.52,5.55,5.29,5.43,2661400
CETX,05-Feb-2016,16.96,17.44,16.48,17.04,57100
CEVA,05-Feb-2016,17.85,18.17,17.31,17.41,193600
CFA,05-Feb-2016,33.14,33.25,33.07,33.07,700
CFBK,05-Feb-2016,7.425,7.425,7.425,7.425,100
CFFI,05-Feb-2016,37.59,38.02,37.59,38.02,2400
CFFN,05-Feb-2016,12.09,12.17,11.98,12,890900
CFMS,05-Feb-2016,10.38,10.38,9.4,9.64,346700
CFO,05-Feb-2016,33.41,33.52,33.02,33.06,7500
CFRX,05-Feb-2016,33.1,34,31.5,34,44800
CG,05-Feb-2016,12.83,13.14,12.69,12.77,504300
CGEN,05-Feb-2016,4.71,4.84,4.65,4.69,163300
CGNT,05-Feb-2016,1.08,1.2,1.08,1.18,10300
CGNX,05-Feb-2016,15.76,16.155,15.35,15.45,388000
CGO,05-Feb-2016,10.32,10.32,10.16,10.18,17400
CHCI,05-Feb-2016,1.72,1.75,1.57,1.74,1900
CHCO,05-Feb-2016,42.97,43.82,42.81,42.81,64200
