Symbol,Date,Open,High,Low,Close,Volume
AAL,27-May-2016,31.6,31.84,31.41,31.65,8573600
AAME,27-May-2016,3.39,3.56,3.26,3.56,5800
AAOI,27-May-2016,10.13,10.3,9.85,10.18,371800
AAON,27-May-2016,27.88,28.11,27.71,27.94,197100
AAPL,27-May-2016,24.86,25.1175,24.8125,25.0875,36341200
AAWW,27-May-2016,44.11,44.64,43.95,44.12,245100
AAXJ,27-May-2016,52.95,53.17,52.79,52.89,461800
ABCB,27-May-2016,31.94,32.1,31.69,32.04,133400
ABEO,27-May-2016,3.25,3.36,3.21,3.26,141100
ABIO,27-May-2016,59.4,60.66,59.4,60.3,4400
ABMD,27-May-2016,98.81,99.85,98.38,99.74,321100
ABTX,27-May-2016,23.8,24.45,23.43,24.13,35200
ABUS,27-May-2016,4.25,4.3,4.07,4.1,68000
ACAD,27-May-2016,34.9,35.62,34.36,35.61,1524700
ACBI,27-May-2016,14.24,14.36,13.77,14.27,25900
ACET,27-May-2016,22.15,22.58,22.07,22.31,126700
ACGL,27-May-2016,23.9767,24.1,23.83,24.0533,149800
ACHC,27-May-2016,56.82,58.2,56.75,58.07,507900
ACIW,27-May-2016,20.05,20.45,20.05,20.43,374200
ACLS,27-May-2016,10.64,10.88,10.08,10.72,310400
ACNB,27-May-2016,24.9,24.9,24.23,24.72,10700
ACOR,27-May-2016,26.97,27.62,26.85,27.29,908500
ACRS,27-May-2016,19.55,20.88,19.25,20,65400
ACRX,27-May-2016,3.44,3.49,3.36,3.48,91300
ACST,27-May-2016,1.49,1.5,1.49,1.5,400
ACTG,27-May-2016,5.32,5.4,5.2,5.23,227100
ACWI,27-May-2016,57.02,57.17,57,57.14,1124700
ACWX,27-May-2016,40.12,40.22,40.05,40.12,662300
ADAP,27-May-2016,10.05,10.07,9.75,9.85,88200
ADBE,27-May-2016,99.52,100.14,98.9,100.14,1603800
ADI,27-May-2016,58.35,58.72,58.13,58.44,1000800
ADMA,27-May-2016,7.17,7.56,6.98,7.38,78400
ADMP,27-May-2016,8.58,8.86,8.35,8.76,206700
ADMS,27-May-2016,16.24,16.41,15.95,16.38,148600
ADP,27-May-2016,87.74,88.08,87.53,88.04,1078000
ADRE,27-May-2016,30.46,30.62,30.46,30.49,6500
