Symbol,Date,Open,High,Low,Close,Volume
AAL,01-Feb-2016,39,39.94,38.63,39.38,12023500
AAME,01-Feb-2016,4.5,4.5,4.45,4.49,2100
AAOI,01-Feb-2016,15.9,16.01,15.5,15.97,263700
AAON,01-Feb-2016,21.4,21.49,20.99,21.19,109500
AAPL,01-Feb-2016,24.1175,24.1775,23.85,24.1075,40943500
AAWW,01-Feb-2016,36.27,36.66,35.39,36.18,192800
AAXJ,01-Feb-2016,49.13,49.42,48.92,49.3,1296100
ABCB,01-Feb-2016,28.79,28.81,28.14,28.6,307100
ABEO,01-Feb-2016,2.57,2.59,2.4,2.5,31200
ABIO,01-Feb-2016,67.5,70.56,66.06,68.4,21200
ABMD,01-Feb-2016,84.13,86.12,82.01,85.46,389800
ABTX,01-Feb-2016,18.83,19.85,18.45,19.77,60700
ABUS,01-Feb-2016,3.15,3.29,2.98,3.13,351200
ACAD,01-Feb-2016,21.47,21.79,20.13,20.86,2663500
ACBI,01-Feb-2016,13.27,13.35,13.05,13.34,6700
ACET,01-Feb-2016,22.75,23.05,22.3,22.9,212200
ACGL,01-Feb-2016,22.3767,22.71,22.2167,22.6667,443900
ACHC,01-Feb-2016,60.91,62.24,58.96,61.87,815700
ACIW,01-Feb-2016,17.72,18.24,17.4,18.09,605400
ACLS,01-Feb-2016,10.48,10.52,10.32,10.48,453900
ACNB,01-Feb-2016,21.55,22,21.5,21.93,2800
ACOR,01-Feb-2016,36.64,38.27,36.2,37.92,524500
ACRS,01-Feb-2016,22.26,22.26,21.02,21.65,31300
ACRX,01-Feb-2016,3.73,3.79,3.53,3.7,281400
ACST,01-Feb-2016,1.54,1.56,1.53,1.55,3100
ACTG,01-Feb-2016,3.73,3.79,3.6,3.73,332900
ACWI,01-Feb-2016,52.44,52.97,52.25,52.76,3367400
ACWX,01-Feb-2016,37.01,37.41,36.91,37.28,1540500
ADAP,01-Feb-2016,7.09,7.43,6.96,7.39,326100
ADBE,01-Feb-2016,88.16,90.24,87.9,89.61,2893100
ADI,01-Feb-2016,53.38,53.7,52.96,53.17,2295600
ADMA,01-Feb-2016,6.88,6.88,5.82,6.01,23800
ADMP,01-Feb-2016,4.71,4.8,4.53,4.77,17300
