Symbol,Date,Open,High,Low,Close,Volume
AACG,22-Jun-2022,1.05,1.0624,1.05,1.05,5200
AACI,22-Jun-2022,9.86,9.86,9.84,9.84,10000
AACIW,22-Jun-2022,0.21,0.21,0.2,0.2,22800
AADI,22-Jun-2022,12.5,12.755,12.25,12.5,176000
AADR,22-Jun-2022,49.05,49.115,48.68,48.82,2600
AAL,22-Jun-2022,12.82,13.43,12.76,13.1,34193500
AAME,22-Jun-2022,3.2,3.2,2.9228,3.04,2100
AAOI,22-Jun-2022,1.9,2.06,1.9,1.98,163500
AAON,22-Jun-2022,49.43,51.215,48.975,50.93,199000
AAPL,22-Jun-2022,134.79,137.76,133.91,135.35,73409200
AATC,22-Jun-2022,5.37,5.5,5.37,5.4999,3200
AAWW,22-Jun-2022,62.35,63.1,61.9,62.42,362200
AAXJ,22-Jun-2022,67.93,68.4,67.69,67.94,788800
ABCB,22-Jun-2022,41.74,41.74,40.2383,40.99,263500
ABCL,22-Jun-2022,9.67,10.71,9.611,10.29,4343500
ABCM,22-Jun-2022,13.97,14.3169,13.93,14.15,129900
ABEO,22-Jun-2022,0.175,0.18,0.1601,0.1727,1613600
ABGI,22-Jun-2022,9.79,9.8101,9.79,9.81,8400
ABIO,22-Jun-2022,2.39,2.48,2.36,2.47,92800
ABMD,22-Jun-2022,230.17,237.22,227.02,236.3,397100
ABNB,22-Jun-2022,99,102.5,98.72,99.53,8986000
ABOS,22-Jun-2022,3.32,3.69,3.31,3.46,320100
ABSI,22-Jun-2022,3.4,3.64,3.29,3.47,617400
ABST,22-Jun-2022,8.01,8.25,7.75,8.02,20700
ABUS,22-Jun-2022,2.69,2.85,2.65,2.74,822000
ABVC,22-Jun-2022,1,1,0.8882,0.917,95300
ACAB,22-Jun-2022,10.01,10.01,9.92,9.98,1101100
ACABU,22-Jun-2022,9.99,9.99,9.99,9.99,0
ACABW,22-Jun-2022,0.0915,0.0915,0.0915,0.0915,0
ACACU,22-Jun-2022,9.98,9.98,9.98,9.98,800
ACAD,22-Jun-2022,12.75,13.61,12.6801,13.43,5888800
ACAH,22-Jun-2022,9.77,9.77,9.77,9.77,0
ACAHU,22-Jun-2022,9.85,9.85,9.85,9.85,100
ACAHW,22-Jun-2022,0.1096,0.1096,0.1096,0.1096,0
ACAX,22-Jun-2022,9.86,9.86,9.86,9.86,0
ACAXR,22-Jun-2022,0.0701,0.0701,0.0701,0.0701,24700
ACAXU,22-Jun-2022,10.12,10.12,10.12,10.12,900
ACAXW,22-Jun-2022,0.078,0.1049,0.078,0.1,7500
ACB,22-Jun-2022,1.34,1.4,1.29,1.29,8104400
ACBA,22-Jun-2022,10.28,10.28,10.28,10.28,0
ACBAU,22-Jun-2022,10.33,10.33,10.33,10.33,0
ACBAW,22-Jun-2022,0.07,0.07,0.07,0.07,0
ACCD,22-Jun-2022,5.9,6.68,5.68,6.61,1426900
ACER,22-Jun-2022,1.41,1.41,1.31,1.31,146200
ACET,22-Jun-2022,11.88,12.34,11.65,11.87,757300
ACGL,22-Jun-2022,43.3,43.705,43.14,43.51,1593200
ACGLN,22-Jun-2022,19.42,19.6703,19.16,19.19,23800
ACGLO,22-Jun-2022,22.74,23.13,22.3973,22.74,37300
ACHC,22-Jun-2022,65.85,68.1,65.85,67.64,382500
ACHL,22-Jun-2022,2.44,2.61,2.3813,2.5,21700
ACHV,22-Jun-2022,5.4,5.4883,5.225,5.3,56300
ACIU,22-Jun-2022,2.94,3.35,2.88,3.22,121900
ACIW,22-Jun-2022,25.19,25.95,24.7661,25.61,614600
ACLS,22-Jun-2022,52.33,54.0955,52.25,53.27,186800
ACLX,22-Jun-2022,15.25,16.39,14.85,15.58,265400
ACMR,22-Jun-2022,14.46,15.16,14.04,14.65,531500
ACNB,22-Jun-2022,34.58,34.83,33.25,33.97,66100
ACON,22-Jun-2022,0.99,1.1,0.81,0.8345,281500
ACONW,22-Jun-2022,0.368,0.368,0.368,0.368,0
ACOR,22-Jun-2022,0.5847,0.6396,0.5225,0.5225,1836900
ACQR,22-Jun-2022,9.8,9.8,9.79,9.8,2900
ACQRU,22-Jun-2022,9.84,9.84,9.84,9.84,0
ACQRW,22-Jun-2022,0.2189,0.2242,0.2,0.2169,122100
ACRS,22-Jun-2022,15.68,16.2,15.46,15.47,430900
ACRX,22-Jun-2022,0.1992,0.2041,0.1906,0.1924,1039400
ACST,22-Jun-2022,0.9043,0.9125,0.9002,0.9015,82900
ACT,22-Jun-2022,20.77,22,20.73,20.92,1070200
ACTG,22-Jun-2022,4.8,4.9,4.72,4.79,939600
ACVA,22-Jun-2022,7.04,7.34,6.99,7.14,1364800
ACWI,22-Jun-2022,82.77,84.14,82.56,83.28,3650700
ACWX,22-Jun-2022,44.45,44.95,44.3689,44.6,3506900
ACXP,22-Jun-2022,3.6199,3.6299,3.5,3.62,7700
ADAG,22-Jun-2022,2.05,2.07,1.896,2,53800
ADAL,22-Jun-2022,9.95,9.955,9.95,9.95,52900
ADALU,22-Jun-2022,10.04,10.04,10.04,10.04,0
ADALW,22-Jun-2022,0.15,0.15,0.15,0.15,2000
ADAP,22-Jun-2022,1.72,1.8186,1.68,1.73,334800
ADBE,22-Jun-2022,360.79,372.55,358.2228,365.33,3168100
ADER,22-Jun-2022,9.83,9.83,9.82,9.82,14000
ADERU,22-Jun-2022,9.9601,9.9601,9.9601,9.9601,0
ADERW,22-Jun-2022,0.2701,0.2701,0.2701,0.2701,1200
ADES,22-Jun-2022,4.67,4.78,4.65,4.7,59600
ADI,22-Jun-2022,146.95,148.98,145.86,147.65,3720300
ADIL,22-Jun-2022,1.2238,1.33,1.2238,1.27,123500
ADILW,22-Jun-2022,0.3,0.35,0.3,0.35,800
ADMA,22-Jun-2022,2.11,2.2,2.1016,2.15,2764600
ADMP,22-Jun-2022,0.4,0.4195,0.3901,0.4047,219600
ADN,22-Jun-2022,2.73,3.53,2.58,3.24,16886500
ADNWW,22-Jun-2022,0.44,0.6,0.42,0.54,293800
ADOC,22-Jun-2022,10.2,10.2,10.2,10.2,0
ADOCR,22-Jun-2022,0.23,0.23,0.23,0.23,0
ADOCW,22-Jun-2022,0.0278,0.0278,0.0253,0.0278,13100
ADP,22-Jun-2022,204.51,209.78,203.98,207.4,1505600
ADPT,22-Jun-2022,7.41,8.06,7.35,7.75,1054700
ADRE,22-Jun-2022,38.79,39.19,38.66,38.86,2200
ADSE,22-Jun-2022,5.93,5.98,4.6,4.93,107000
ADSEW,22-Jun-2022,0.49,0.546,0.48,0.546,3100
ADSK,22-Jun-2022,166.08,171.13,165.01,169.15,1705600
ADTH,22-Jun-2022,3.36,3.54,2.91,2.91,879300
ADTHW,22-Jun-2022,0.56,0.56,0.4777,0.4777,9500
ADTN,22-Jun-2022,18.31,18.47,17.54,18.06,254300
ADTX,22-Jun-2022,0.15,0.1726,0.1242,0.1333,10120300
ADUS,22-Jun-2022,74.83,78.93,74.83,78.29,81500
ADV,22-Jun-2022,4.07,4.41,4.07,4.18,544100
ADVM,22-Jun-2022,1.01,1.06,1,1.06,1152300
ADVWW,22-Jun-2022,0.27,0.28,0.2333,0.27,675400
ADXN,22-Jun-2022,1.26,1.26,1.05,1.1068,107800
AEAC,22-Jun-2022,9.82,9.82,9.82,9.82,100100
AEACU,22-Jun-2022,9.86,9.86,9.86,9.86,0
AEACW,22-Jun-2022,0.16,0.1752,0.16,0.1608,2200
AEAE,22-Jun-2022,9.92,9.92,9.92,9.92,100
AEAEU,22-Jun-2022,9.99,9.99,9.99,9.99,0
AEAEW,22-Jun-2022,0.18,0.18,0.18,0.18,0
AEHA,22-Jun-2022,10.11,10.11,10.11,10.11,0
AEHAW,22-Jun-2022,0.139,0.139,0.139,0.139,700
AEHL,22-Jun-2022,0.9364,0.978,0.8811,0.978,32400
AEHR,22-Jun-2022,7.81,7.978,7.63,7.67,186200
AEI,22-Jun-2022,0.2977,0.3129,0.28,0.29,1636600
AEIS,22-Jun-2022,70.89,72.35,70.34,71.87,167100
AEMD,22-Jun-2022,0.9925,1.08,0.9925,1.02,199100
AEP,22-Jun-2022,89.48,91.16,89.47,90.31,2632500
AEPPZ,22-Jun-2022,51.59,52.37,51.59,52.15,1078200
AERC,22-Jun-2022,17.37,17.98,13.5105,14.81,4403700
AEY,22-Jun-2022,1.275,1.275,1.26,1.26,4000
AEYE,22-Jun-2022,5.31,5.88,5.28,5.55,165100
AEZS,22-Jun-2022,0.1752,0.19,0.1752,0.1834,452400
AFAQ,22-Jun-2022,9.78,9.78,9.78,9.78,0
AFAQU,22-Jun-2022,9.772,9.772,9.772,9.772,0
AFAQW,22-Jun-2022,0.15,0.15,0.15,0.15,0
AFAR,22-Jun-2022,9.9,9.9,9.83,9.8958,20600
AFARU,22-Jun-2022,9.9416,9.9416,9.9416,9.9416,0
AFARW,22-Jun-2022,0.075,0.075,0.075,0.075,0
AFBI,22-Jun-2022,14.58,14.817,14.52,14.52,12100
AFCG,22-Jun-2022,16.58,17.05,16.58,16.65,97900
AFIB,22-Jun-2022,0.5212,0.59,0.5212,0.5774,239400
AFMD,22-Jun-2022,2.5,2.8,2.46,2.73,1098100
AFRI,22-Jun-2022,7.02,7.25,6,6.315,94800
AFRIW,22-Jun-2022,0.32,0.32,0.27,0.32,117300
AFRM,22-Jun-2022,18.65,20.0772,18.585,19.27,10535300
AFYA,22-Jun-2022,9.94,10.28,9.94,10.13,245900
AGBA,22-Jun-2022,11.34,11.34,11.34,11.34,0
AGBAW,22-Jun-2022,0.0977,0.0977,0.0977,0.0977,0
AGEN,22-Jun-2022,1.63,1.86,1.62,1.8,4862200
AGFS,22-Jun-2022,1.66,1.71,1.6,1.68,32600
AGFY,22-Jun-2022,2.06,2.17,2.01,2.09,196500
AGGR,22-Jun-2022,9.79,9.79,9.79,9.79,300
AGGRU,22-Jun-2022,9.81,9.81,9.81,9.81,0
AGGRW,22-Jun-2022,0.1482,0.1482,0.1482,0.1482,100
AGIL,22-Jun-2022,5.15,5.24,4.75,5.11,4500
AGILW,22-Jun-2022,0.4775,0.5,0.4775,0.5,5100
AGIO,22-Jun-2022,17.83,19.21,17.83,18.6,2512200
AGLE,22-Jun-2022,0.64,0.66,0.61,0.646,278900
AGMH,22-Jun-2022,1.5755,1.5755,1.46,1.46,2500
AGNC,22-Jun-2022,10.62,10.93,10.58,10.84,11936600
AGNCM,22-Jun-2022,20.55,20.82,20.45,20.535,50600
AGNCN,22-Jun-2022,22.57,22.7805,22.37,22.65,120800
AGNCO,22-Jun-2022,21.32,21.5192,21.15,21.19,30000
AGNCP,22-Jun-2022,20.87,20.92,20.81,20.84,21300
AGNG,22-Jun-2022,24.6597,24.7303,24.6,24.6444,800
AGRI,22-Jun-2022,2.45,2.54,2.3501,2.49,710000
AGRIW,22-Jun-2022,0.3951,0.3951,0.3951,0.3951,900
AGRX,22-Jun-2022,1.16,1.18,1.09,1.09,294300
AGYS,22-Jun-2022,39.7,40.995,39.14,40.59,97100
AGZD,22-Jun-2022,46.01,46.01,45.7,45.94,62800
AHCO,22-Jun-2022,17.62,18.52,17.6,17.92,1303200
AHG,22-Jun-2022,1.04,1.11,1.04,1.08,1600
AHI,22-Jun-2022,0.629,0.629,0.59,0.59,18100
AHPI,22-Jun-2022,1.65,1.99,1.65,1.75,35600
AHRN,22-Jun-2022,9.93,9.93,9.92,9.93,11500
AHRNU,22-Jun-2022,10,10,10,10,0
AHRNW,22-Jun-2022,0.139,0.139,0.139,0.139,0
AIA,22-Jun-2022,61.97,62.46,61.967,62.18,25400
AIB,22-Jun-2022,9.91,9.91,9.91,9.91,100
AIBBR,22-Jun-2022,0.1099,0.1099,0.1099,0.1099,0
AIBBU,22-Jun-2022,9.99,10.0485,9.97,9.97,2700
AIH,22-Jun-2022,1.74,1.8,1.74,1.8,1400
AIHS,22-Jun-2022,0.946,0.99,0.946,0.9895,8900
AIKI,22-Jun-2022,5.55,5.9199,5.55,5.74,144300
AIMAU,22-Jun-2022,9.9301,9.9301,9.9301,9.9301,0
AIMAW,22-Jun-2022,0.05,0.05,0.05,0.05,0
AIMC,22-Jun-2022,33.56,34.83,33.12,33.42,303600
AIP,22-Jun-2022,7.72,8.12,7.7,7.79,117600
AIQ,22-Jun-2022,20.75,21.26,20.75,20.92,19400
AIRG,22-Jun-2022,8.73,9.2059,8.6,8.83,145600
AIRR,22-Jun-2022,36.6,37.09,36.6,37.0012,10100
AIRS,22-Jun-2022,6.13,6.7825,6.13,6.6,176500
AIRT,22-Jun-2022,17.55,17.55,17.55,17.55,0
AIRTP,22-Jun-2022,20.5,20.61,20.2401,20.61,1100
AKAM,22-Jun-2022,90.33,92.58,90.05,90.39,1004300
AKAN,22-Jun-2022,0.96,1,0.87,0.92,495100
AKBA,22-Jun-2022,0.3347,0.3748,0.33,0.3558,7101000
AKIC,22-Jun-2022,9.82,9.83,9.82,9.83,300
AKICU,22-Jun-2022,9.89,9.89,9.89,9.89,0
AKICW,22-Jun-2022,0.07,0.09,0.07,0.09,6800
AKRO,22-Jun-2022,11.52,11.98,10.85,10.93,594800
AKTS,22-Jun-2022,3.66,3.97,3.6225,3.97,599400
AKTX,22-Jun-2022,0.97,1.01,0.955,0.97,57400
AKU,22-Jun-2022,0.55,0.55,0.5101,0.5104,18200
AKYA,22-Jun-2022,9.36,10.705,9.2956,9.67,147900
ALBO,22-Jun-2022,19.97,20.73,19.52,19.64,233400
ALCO,22-Jun-2022,38.73,39.18,38.05,38.34,112900
ALDX,22-Jun-2022,3.14,3.355,3.08,3.17,1227800
ALEC,22-Jun-2022,8.76,9.91,8.76,9.7,573700
ALGM,22-Jun-2022,20.93,21.155,20.621,20.8,477500
ALGN,22-Jun-2022,226.48,240.8,225.86,235.09,1600000
ALGS,22-Jun-2022,1.17,1.27,1.17,1.21,242600
ALGT,22-Jun-2022,110.79,115.185,110.79,114.11,234000
ALHC,22-Jun-2022,11.56,12.04,11.05,11.67,627600
ALIM,22-Jun-2022,5.2,5.39,5.07,5.19,7900
ALKS,22-Jun-2022,27.45,28.69,27.28,28.07,1725100
ALKT,22-Jun-2022,12.66,13.15,12.61,12.99,339000
ALLK,22-Jun-2022,3.05,3.46,3,3.27,1316400
ALLO,22-Jun-2022,11.22,12.215,11.06,11.96,2227300
ALLR,22-Jun-2022,1.76,1.86,1.76,1.82,104300
ALLT,22-Jun-2022,5.13,5.13,5.02,5.06,62900
ALNY,22-Jun-2022,137.36,142.6,135.21,141.56,876900
ALOR,22-Jun-2022,9.96,9.96,9.96,9.96,0
ALORU,22-Jun-2022,9.98,9.98,9.98,9.98,0
ALORW,22-Jun-2022,0.1148,0.1148,0.1148,0.1148,0
ALOT,22-Jun-2022,11.68,12.04,11.68,12.04,2700
ALPA,22-Jun-2022,9.69,9.69,9.69,9.69,200
ALPAU,22-Jun-2022,9.73,9.73,9.73,9.73,0
ALPAW,22-Jun-2022,0.3999,0.3999,0.3999,0.3999,100
ALPN,22-Jun-2022,8.83,9.2,8.83,8.92,106000
ALPP,22-Jun-2022,0.6125,0.678,0.6125,0.668,451100
ALR,22-Jun-2022,1.24,1.2827,1.2,1.22,66100
ALRM,22-Jun-2022,59.87,60.8,59.56,60.14,233500
ALRN,22-Jun-2022,0.4,0.418,0.39,0.3969,173100
ALRS,22-Jun-2022,23.91,24.42,23.41,23.6,33300
ALSA,22-Jun-2022,9.92,9.92,9.92,9.92,11000
ALSAR,22-Jun-2022,0.13,0.13,0.1294,0.1294,1700
ALSAU,22-Jun-2022,10.13,10.13,10.0499,10.0701,700
ALSAW,22-Jun-2022,0.04,0.04,0.04,0.04,800
ALT,22-Jun-2022,9.08,9.6014,9.001,9.44,1271400
ALTO,22-Jun-2022,4.3,4.36,4.03,4.07,2454100
ALTR,22-Jun-2022,52,53.02,51.6,52.07,277400
ALTU,22-Jun-2022,9.89,9.92,9.89,9.91,39500
ALTUU,22-Jun-2022,9.94,9.96,9.94,9.96,700
ALTUW,22-Jun-2022,0.0904,0.12,0.08,0.0913,139400
ALTY,22-Jun-2022,11.27,11.43,11.25,11.3888,7900
ALVO,22-Jun-2022,10,10,9.42,9.59,36600
ALVOW,22-Jun-2022,0.8701,0.8701,0.87,0.8701,5400
ALVR,22-Jun-2022,3.93,4.44,3.93,4.22,421400
ALXO,22-Jun-2022,6.56,7.16,6.56,6.79,426700
ALYA,22-Jun-2022,2.52,2.52,2.35,2.36,5900
ALZN,22-Jun-2022,0.8903,0.945,0.8903,0.9245,208800
AMAL,22-Jun-2022,20.19,20.655,19.99,20.28,147800
AMAO,22-Jun-2022,10.06,10.06,10.02,10.04,14800
AMAOW,22-Jun-2022,0.1201,0.1294,0.12,0.12,39800
AMAT,22-Jun-2022,93.09,95.93,92.85,93.94,7652000
AMBA,22-Jun-2022,66.96,69.95,66.92,68.52,471000
AMCI,22-Jun-2022,9.76,9.76,9.76,9.76,700
AMCIW,22-Jun-2022,0.2,0.23,0.2,0.23,12300
AMCX,22-Jun-2022,27.87,28.92,27.79,28.76,242500
AMD,22-Jun-2022,84.4,86.375,83.3001,83.75,86634700
AMED,22-Jun-2022,106.87,111.76,106.38,108.53,863900
AMEH,22-Jun-2022,35.74,38.37,35.74,37.33,398500
AMGN,22-Jun-2022,237.17,242.34,236.9,240.14,4172900
AMKR,22-Jun-2022,16.74,17.02,16.53,16.63,1305900
AMLX,22-Jun-2022,17.09,18.61,16.2953,17.55,508500
AMNB,22-Jun-2022,34.73,35.39,34.02,35.08,14200
AMOT,22-Jun-2022,22.71,23.98,22.5,22.78,38000
AMPG,22-Jun-2022,1.91,1.99,1.91,1.92,19600
AMPGW,22-Jun-2022,0.6,0.6,0.6,0.6,0
AMPH,22-Jun-2022,31.35,32.38,31.3,31.71,361500
AMPL,22-Jun-2022,15.09,16.48,15.02,15.7,1067700
AMRK,22-Jun-2022,31.37,32.67,31.37,31.98,136800
AMRN,22-Jun-2022,1.84,1.96,1.83,1.88,2273000
AMRS,22-Jun-2022,2.02,2.15,2,2.04,3959800
AMSC,22-Jun-2022,4.42,4.88,4.23,4.74,840300
AMSF,22-Jun-2022,48.99,50.135,48.395,49.44,95900
AMST,22-Jun-2022,0.491,0.5346,0.4901,0.5334,27200
AMSWA,22-Jun-2022,15.87,16.22,15.23,15.57,181100
AMTB,22-Jun-2022,27.73,28.425,27.51,28.06,101700
AMTI,22-Jun-2022,3.32,3.72,3.32,3.48,283600
AMTX,22-Jun-2022,5.6,6.16,5.6,5.99,625900
AMWD,22-Jun-2022,41.16,42.06,40.7,41.25,140600
AMYT,22-Jun-2022,6.9,6.98,6.85,6.85,68300
AMZN,22-Jun-2022,107.43,112.13,107.02,108.95,60040100
ANAB,22-Jun-2022,21.99,23.71,21.99,22.45,316400
ANDE,22-Jun-2022,34.22,34.87,33.435,33.49,282200
ANEB,22-Jun-2022,2.78,3.7,2.77,3.4,11900
ANGH,22-Jun-2022,6.51,7.86,6.5,6.96,235300
ANGHW,22-Jun-2022,0.3489,0.4609,0.3489,0.43,4700
ANGI,22-Jun-2022,4.21,4.41,4.125,4.3,931900
ANGL,22-Jun-2022,27.1,27.24,27.08,27.17,3560700
ANGN,22-Jun-2022,1.45,2.02,1.44,2.02,577800
ANGO,22-Jun-2022,18.86,19.7,18.86,19.11,643800
ANIK,22-Jun-2022,22.15,22.82,22.15,22.58,118100
ANIP,22-Jun-2022,26.01,26.46,25.5525,25.78,95000
ANIX,22-Jun-2022,3.15,3.29,3.11,3.27,18500
ANNX,22-Jun-2022,3.15,3.4,3.14,3.39,404500
ANPC,22-Jun-2022,0.2835,0.3022,0.2826,0.289,970900
ANSS,22-Jun-2022,232.75,237.665,231.9,235.58,1027300
ANTE,22-Jun-2022,1.34,1.43,1.3299,1.35,30000
ANTX,22-Jun-2022,8.08,8.59,7.97,8.12,61200
