Symbol,Date,Open,High,Low,Close,Volume
AAME,24-Oct-2003,2.4,2.41,2.4,2.4,1400
AAON,24-Oct-2003,3.4743,3.5633,3.4743,3.5179,19613
AAPL,24-Oct-2003,0.4029,0.408,0.397,0.4036,7852024
ABCB,24-Oct-2003,13.5667,13.5667,13.3333,13.3333,10220
ABMD,24-Oct-2003,8.7,9.18,8.7,9.05,75957
ACBA,24-Oct-2003,7.997,7.997,7.997,7.997,0
ACET,24-Oct-2003,6.4089,6.6089,6.4089,6.4715,76050
ACGL,24-Oct-2003,3.9678,3.9867,3.9256,3.9489,70402
ACLS,24-Oct-2003,34.88,36,34.44,35.12,555329
ACMR,24-Oct-2003,22.95,23.04,22.4,22.61,69600
ACTG,24-Oct-2003,6.58,6.6,5.88,6.199,422136
ADBE,24-Oct-2003,21.155,21.155,20.53,21.005,5082222
ADES,24-Oct-2003,1.75,2,1.75,1.75,15800
ADI,24-Oct-2003,41.87,41.92,40.45,41.5,3911400
ADP,24-Oct-2003,32.3529,32.4845,32.0544,32.3002,1436900
ADPT,24-Oct-2003,8.18,8.24,8,8.2,473512
ADRE,24-Oct-2003,16.8,17.32,16.55,16.875,1900
ADSK,24-Oct-2003,9.41,9.505,9.25,9.37,2748784
ADTN,24-Oct-2003,32.77,33.34,32.375,33.27,1386092
AEHR,24-Oct-2003,3.98,3.982,3.98,3.98,1400
AEIS,24-Oct-2003,19.351,19.69,19.15,19.48,140894
AEZS,24-Oct-2003,2088,2088,1944,1962,26940
AGEN,24-Oct-2003,11.92,12.1,11.41,11.56,181955
AGIL,24-Oct-2003,10.5,10.62,10.29,10.39,319774
AGYS,24-Oct-2003,9.7,9.73,9.5,9.51,44859
AHPI,24-Oct-2003,4.1,4.101,4.1,4.1,6300
AIRT,24-Oct-2003,4.508,4.508,4.508,4.508,500
AKAM,24-Oct-2003,5.81,5.89,5.56,5.76,1438294
ALCO,24-Oct-2003,30.78,30.78,30.4,30.4,1800
ALGN,24-Oct-2003,14.09,14.79,13.52,14.62,415552
ALKS,24-Oct-2003,13.7,13.81,13.22,13.75,1631483
ALOT,24-Oct-2003,9.491,10.026,9.236,9.258,34760
ALTR,24-Oct-2003,18.25,18.577,18.079,18.45,5827432
ALVR,24-Oct-2003,73.8,74.1,70.8,71,208515
AMAT,24-Oct-2003,20.36,20.86,20.17,20.65,24417580
AMD,24-Oct-2003,13.5,13.59,13.26,13.59,5928100
AMED,24-Oct-2003,7.695,8.288,7.695,8.28,14100
AMGN,24-Oct-2003,59.7,61.81,59.29,61.47,12236600
AMKR,24-Oct-2003,15.59,15.79,15.05,15.44,1463321
AMNB,24-Oct-2003,25.855,25.855,25.44,25.84,1700
AMOT,24-Oct-2003,3.191,3.191,3.19,3.19,1300
AMPH,24-Oct-2003,6.121,6.28,6.121,6.28,700
AMPL,24-Oct-2003,68.2,70,67,69.8,5100
AMRN,24-Oct-2003,2.75,2.8,2.7,2.79,14800
AMSC,24-Oct-2003,97.5,98,91.5,93.8,650122
AMSWA,24-Oct-2003,6,6,5.86,5.864,97670
AMWD,24-Oct-2003,24.755,24.79,23.14,23.62,102288
AMZN,24-Oct-2003,54.55,54.94,53,54.509,10444163
ANAT,24-Oct-2003,82.63,82.63,80.91,80.91,14100
ANDE,24-Oct-2003,5.4267,5.4267,5.3367,5.3367,12200
ANGN,24-Oct-2003,2.2,2.3,2.03,2.12,25600
ANIK,24-Oct-2003,6.4,6.4,6.19,6.26,9800
ANSS,24-Oct-2003,9.05,9.145,8.868,8.925,200280
APAC,24-Oct-2003,2.62,2.64,2.52,2.53,44458
APOG,24-Oct-2003,10.47,10.64,10.4,10.49,42875
APTM,24-Oct-2003,1.05,1.05,0.85,0.925,40800
ARKR,24-Oct-2003,12.1,12.11,12.1,12.1,1900
ARLP,24-Oct-2003,7.4,7.5,7.3125,7.41,19650
ARNA,24-Oct-2003,75.9,76.8,74.9,76.5,44398
AROW,24-Oct-2003,25.6214,25.7184,25.3301,25.466,24205
ARRY,24-Oct-2003,5.55,5.64,5.45,5.64,21373
ARTL,24-Oct-2003,5.205,5.205,5.205,5.205,0
ARTNA,24-Oct-2003,17.435,17.509,17.309,17.342,3578
ARTW,24-Oct-2003,4.75,4.75,4.75,4.75,0
ARWR,24-Oct-2003,0.975,0.975,0.975,0.975,35
ASML,24-Oct-2003,15.38,15.67,15.31,15.64,2804645
ASRV,24-Oct-2003,4.61,4.7,4.6,4.6,16800
ASTE,24-Oct-2003,10.28,10.4,10.04,10.12,10907
ASYS,24-Oct-2003,6.46,6.68,6.46,6.669,3400
ATLO,24-Oct-2003,19.3333,19.3333,19.3333,19.3333,0
ATRI,24-Oct-2003,41.74,43.22,41.69,42.6,2300
ATRO,24-Oct-2003,3.575,3.8,3.575,3.575,18295
ATRS,24-Oct-2003,26.86,27.39,26.39,26.81,158003
ATVI,24-Oct-2003,2.505,2.5465,2.4845,2.5165,1418566
AUBN,24-Oct-2003,18.35,18.35,18.35,18.35,0
AUDC,24-Oct-2003,8.26,8.34,8.1,8.236,148820
AVCT,24-Oct-2003,35,35.93,34.96,35.92,535457
AVID,24-Oct-2003,50.8,51.97,48.5,49,1093114
AWRE,24-Oct-2003,3.28,3.42,3.15,3.16,41800
AXTI,24-Oct-2003,2.12,2.12,1.72,1.89,572390
AZPN,24-Oct-2003,6.13,6.2,5.76,6,433700
BANF,24-Oct-2003,27.245,27.66,27.2,27.66,3500
BANR,24-Oct-2003,160.58,163.1,159.187,159.187,13600
BBBY,24-Oct-2003,40.48,41.35,40.35,41.285,2444061
BBGI,24-Oct-2003,14.13,14.24,13.5,13.54,10310
BBSI,24-Oct-2003,4.76,4.7667,4.76,4.7667,300
BCPC,24-Oct-2003,3.858,3.858,3.818,3.828,23000
BCRX,24-Oct-2003,9.3,9.41,8.53,8.85,102545
BDSI,24-Oct-2003,2.92,2.98,2.8,2.87,13700
BELFA,24-Oct-2003,23.5,23.5,22.51,22.701,3700
BELFB,24-Oct-2003,26.5,26.53,26,26.08,10300
BGFV,24-Oct-2003,17.14,17.21,16.92,16.92,92200
BIIB,24-Oct-2003,29.6275,30.2585,29.365,30.1482,1491287
BJRI,24-Oct-2003,12.21,12.46,12.16,12.4,45824
BKSC,24-Oct-2003,12.8636,12.8636,12.6364,12.7727,1100
BLDP,24-Oct-2003,13.1,13.35,13.055,13.25,227607
BLUE,24-Oct-2003,5.45,5.581,5.06,5.47,54361
BMRC,24-Oct-2003,11.1429,11.1429,11.1429,11.1429,0
BMRN,24-Oct-2003,6.71,7.03,6.6,6.91,728593
BMTC,24-Oct-2003,21,21.75,20.79,21.5,6200
BNSO,24-Oct-2003,6.25,6.25,5.53,5.76,24100
BOKF,24-Oct-2003,36.8932,36.9418,36.7087,36.8155,62576
BOOM,24-Oct-2003,1.715,1.715,1.715,1.715,0
BOSC,24-Oct-2003,10.84,10.84,10.84,10.84,0
BPOP,24-Oct-2003,214.65,216.85,213.8,215.5,176962
BRID,24-Oct-2003,7.59,7.7,7.58,7.7,5800
BRKL,24-Oct-2003,14.73,14.81,14.3,14.77,286170
