Symbol,Date,Open,High,Low,Close,Volume
AACG,25-Sep-2023,1.13,1.1502,1.13,1.15,3300
AADI,25-Sep-2023,4.97,5.05,4.9,5.01,79000
AADR,25-Sep-2023,48.9599,48.9599,48.91,48.91,500
AAL,25-Sep-2023,12.81,12.98,12.71,12.91,24618700
AAME,25-Sep-2023,1.95,1.9703,1.94,1.94,900
AAOI,25-Sep-2023,9.37,9.69,9.2403,9.39,994100
AAON,25-Sep-2023,56.61,57.65,56.61,57.09,340100
AAPB,25-Sep-2023,23.8,24.25,23.8,24.09,8200
AAPD,25-Sep-2023,22.29,22.29,21.9533,22.04,119700
AAPL,25-Sep-2023,174.2,176.97,174.15,176.08,46172700
AAPU,25-Sep-2023,24.24,24.7799,24.24,24.61,82400
AAXJ,25-Sep-2023,63.78,64.155,63.78,64.13,498900
ABAT,25-Sep-2023,10.85,10.88,9.8,9.95,245700
ABCB,25-Sep-2023,37.1,37.87,36.97,37.84,504900
ABCL,25-Sep-2023,4.96,4.96,4.75,4.77,1493500
ABEO,25-Sep-2023,3.9,3.9,3.65,3.66,87100
ABIO,25-Sep-2023,2.01,2.05,2.01,2.02,13100
ABL,25-Sep-2023,6.82,7.34,6.51,6.51,20700
ABLLW,25-Sep-2023,0.3,0.3,0.28,0.299,23500
ABLV,25-Sep-2023,3.21,3.35,3.21,3.22,1300
ABNB,25-Sep-2023,130.8,134.25,130.8,134.14,4154500
ABOS,25-Sep-2023,4.42,4.45,4.11,4.24,307500
ABSI,25-Sep-2023,1.45,1.48,1.35,1.35,431100
ABUS,25-Sep-2023,1.93,1.93,1.87,1.9,731300
ABVC,25-Sep-2023,0.88,1.03,0.88,0.94,42300
ACABW,25-Sep-2023,0.0839,0.0839,0.07,0.07,3600
ACAD,25-Sep-2023,23.43,23.6021,23.08,23.29,1780600
ACB,25-Sep-2023,0.75,0.8163,0.725,0.7427,29912500
ACCD,25-Sep-2023,10.66,10.91,10.56,10.71,286600
ACDC,25-Sep-2023,10.46,10.85,10.46,10.8,213300
ACET,25-Sep-2023,1.44,1.4795,1.39,1.4,834300
ACGL,25-Sep-2023,80.63,81.35,80.43,81.15,1357900
ACGLN,25-Sep-2023,18.22,18.37,18.22,18.29,46900
