Symbol,Date,Open,High,Low,Close,Volume
AAME,12-May-2005,3,3,3,3,1000
AAON,12-May-2005,3.4901,3.5434,3.4228,3.4228,11790
AAPL,12-May-2005,1.265,1.2711,1.2143,1.2189,34684330
ABCB,12-May-2005,18.5,18.84,17.62,17.85,8638
ABMD,12-May-2005,9.34,9.34,8.89,9.13,99461
ACAD,12-May-2005,7.63,7.63,7.2,7.2,26008
ACBA,12-May-2005,10.692,10.805,10.679,10.679,22780
ACET,12-May-2005,7.21,7.28,6.87,7.05,97136
ACGL,12-May-2005,4.5944,4.6556,4.5556,4.6333,337594
ACLS,12-May-2005,22.92,23.56,22.44,22.72,640076
ACMR,12-May-2005,26.11,26.11,25.09,25.43,196400
ACTG,12-May-2005,5.25,5.3,4.98,5.205,92772
ADBE,12-May-2005,29.04,29.24,28.56,28.89,4107384
ADES,12-May-2005,7.305,7.775,7.005,7.26,6078
ADI,12-May-2005,34.24,34.76,34.02,34.31,4307500
ADP,12-May-2005,38.6128,38.6215,38.3407,38.5865,1333300
ADPT,12-May-2005,3.57,3.59,3.47,3.48,2429037
ADRE,12-May-2005,20.9,21.088,20.705,20.719,3486
ADSK,12-May-2005,35.58,36.17,35.08,35.53,3707123
ADTN,12-May-2005,21.79,22.86,21.59,22.27,2090187
AEHR,12-May-2005,2.82,2.82,2.71,2.71,1000
AEIS,12-May-2005,10.36,10.52,10.23,10.23,447589
AEZS,12-May-2005,3054,3168,2958,2970,51079
AGEN,12-May-2005,7.05,7.23,6.96,7.19,272254
AGIL,12-May-2005,6.25,6.41,6.18,6.26,176965
AGYS,12-May-2005,13.35,14.37,13.3,14.17,357097
AHPI,12-May-2005,5.82,5.9,5.22,5.63,640520
AINV,12-May-2005,48.57,48.87,47.52,47.52,144922
AIRT,12-May-2005,15.72,16.72,15.31,16.08,765689
AKAM,12-May-2005,11.5,11.61,11.4,11.53,791082
ALCO,12-May-2005,49.15,49.19,48.46,48.46,16972
ALGN,12-May-2005,8.55,8.75,8.43,8.53,623101
ALKS,12-May-2005,11.48,11.93,11.28,11.55,543488
ALNY,12-May-2005,7.76,8.01,7.75,7.94,45115
ALOT,12-May-2005,7.584,7.584,7.576,7.584,859
ALTR,12-May-2005,20.59,20.99,20.49,20.84,5829060
