Symbol,Date,Open,High,Low,Close,Volume
AAME,22-Sep-2005,2.56,2.94,2.53,2.94,11300
AAON,22-Sep-2005,3.4981,3.5197,3.4447,3.4705,22200
AAPL,22-Sep-2005,1.8529,1.8739,1.8329,1.8536,16572700
ABCB,22-Sep-2005,18.02,18.65,18.02,18.55,14100
ABMD,22-Sep-2005,9.97,10.16,9.95,9.98,48500
ACAD,22-Sep-2005,10.61,11.12,10.13,10.9,150000
ACBA,22-Sep-2005,11.439,11.606,11.439,11.606,5700
ACET,22-Sep-2005,6.03,6.03,5.85,5.99,99200
ACGL,22-Sep-2005,5.2333,5.2333,5.0678,5.19,401800
ACLS,22-Sep-2005,21.12,21.68,20.92,21.56,578100
ACMR,22-Sep-2005,19.62,19.8,19.25,19.41,271700
ACTG,22-Sep-2005,5.13,5.14,5.02,5.05,47900
ADBE,22-Sep-2005,27.69,28.09,27.16,27.88,4776100
ADES,22-Sep-2005,9.21,9.395,9.21,9.395,13900
ADI,22-Sep-2005,36,36.49,35.71,36.15,2127800
ADP,22-Sep-2005,37.1818,37.3135,36.8831,37.1465,1497600
ADPT,22-Sep-2005,3.27,3.34,3.25,3.28,471000
ADRE,22-Sep-2005,26.798,26.798,26.213,26.395,18900
ADSK,22-Sep-2005,41.01,41.4,40.36,41.25,3042100
ADTN,22-Sep-2005,30.85,31.31,30.4,31.01,838800
AEHR,22-Sep-2005,2.82,2.82,2.82,2.82,1100
AEIS,22-Sep-2005,10.55,10.78,10.4,10.68,311300
AEZS,22-Sep-2005,3108,3150,2982,2982,60200
AGEN,22-Sep-2005,5.4,5.43,5.28,5.28,167600
AGIL,22-Sep-2005,7,7.11,6.96,7.07,424200
AGYS,22-Sep-2005,16.65,16.7,16.29,16.66,97500
AHPI,22-Sep-2005,5.2,5.24,5,5.15,9600
AINV,22-Sep-2005,58.71,59.79,58.23,59.04,189000
AIRT,22-Sep-2005,10.33,10.44,10.07,10.12,41500
AKAM,22-Sep-2005,13.65,14.02,13.4,13.95,1321200
ALCO,22-Sep-2005,49.01,49.63,48.27,49.44,10200
ALGN,22-Sep-2005,6.26,6.53,6.2,6.31,840400
ALKS,22-Sep-2005,16.88,17.01,16.48,16.93,1278500
ALNY,22-Sep-2005,11.62,11.87,11.56,11.83,128400
ALOT,22-Sep-2005,9.888,10,9.6,9.888,5800
ALTR,22-Sep-2005,18.64,18.9,18.43,18.55,8417600
ALVR,22-Sep-2005,82.6,83,80.3,80.7,691900
AMAT,22-Sep-2005,16.81,17.13,16.7,16.9,15511100
AMD,22-Sep-2005,22,22.5,21.91,22.21,9231700
AMED,22-Sep-2005,27.375,28.035,26.58,27.99,487500
AMGN,22-Sep-2005,84.41,84.94,83.28,84,6778300
AMKR,22-Sep-2005,4.66,4.67,4.35,4.48,2116500
AMNB,22-Sep-2005,22.51,22.94,22.39,22.94,2200
AMOT,22-Sep-2005,4.1,4.1,4.1,4.1,1500
AMPH,22-Sep-2005,12.13,12.13,12.13,12.13,0
AMPL,22-Sep-2005,72,72.8,72,72.8,3900
AMRN,22-Sep-2005,1.49,1.52,1.43,1.43,16300
AMSC,22-Sep-2005,105.9,107.9,101.3,101.6,353900
AMSWA,22-Sep-2005,5.84,5.84,5.84,5.84,0
AMWD,22-Sep-2005,33.74,34,33.5,33.7,25600
AMZN,22-Sep-2005,41.2,42.27,40.5,42.08,5838000
