Symbol,Date,Open,High,Low,Close,Volume
AAME,18-Jan-2006,2.66,2.68,2.66,2.66,1300
AAON,18-Jan-2006,3.5594,3.6563,3.5594,3.6441,12000
AAPL,18-Jan-2006,2.9672,3.0018,2.9232,2.9461,43325600
ABCB,18-Jan-2006,20.25,20.45,20.01,20.13,9000
ABMD,18-Jan-2006,9.88,10.4,9.88,10.36,41400
ACAD,18-Jan-2006,10.83,10.9,10.6,10.77,102200
ACBA,18-Jan-2006,12.206,12.266,12.206,12.206,1700
ACET,18-Jan-2006,6.49,6.62,6.49,6.59,59700
ACGL,18-Jan-2006,5.9444,5.9833,5.8544,5.9,279600
ACLS,18-Jan-2006,22.16,23.32,22.04,23.24,3740900
ACMR,18-Jan-2006,12.66,12.91,12.55,12.83,195500
ACTG,18-Jan-2006,7.9,7.95,7.76,7.9,49400
ADBE,18-Jan-2006,38.95,40.1,38.78,39.73,5466500
ADES,18-Jan-2006,11.345,11.6,11.345,11.42,24900
ADI,18-Jan-2006,37.49,37.84,36.99,37.65,5004400
ADP,18-Jan-2006,39.684,40.0528,39.2976,39.9034,1774900
ADPT,18-Jan-2006,5.78,5.97,5.7,5.95,659000
ADRE,18-Jan-2006,30,30.113,29.76,30.075,33300
ADSK,18-Jan-2006,42.29,43.5,42.05,43.11,1783600
ADTN,18-Jan-2006,30.26,31.95,30.22,31.76,1066900
AEHR,18-Jan-2006,3.66,3.75,3.6,3.7,19000
AEIS,18-Jan-2006,12.81,13.53,12.81,13.36,471800
AEZS,18-Jan-2006,3678,3678,3606,3636,29800
AGEN,18-Jan-2006,4.88,4.95,4.85,4.87,297800
AGIL,18-Jan-2006,6.2,6.29,6.17,6.24,431900
AGYS,18-Jan-2006,18.98,20.07,18.98,20.03,274000
AHPI,18-Jan-2006,5.45,5.6,5.45,5.52,2800
AINV,18-Jan-2006,54.63,55.2,54,54.18,379000
AIRT,18-Jan-2006,11.56,11.56,11.4,11.46,59500
AKAM,18-Jan-2006,21.98,23,21.68,22.91,1843800
ALCO,18-Jan-2006,43.72,44.24,43.38,43.38,12400
ALGN,18-Jan-2006,8.26,8.29,7.72,7.81,1712000
ALKS,18-Jan-2006,24.2,24.65,24.01,24.31,1439900
ALNY,18-Jan-2006,14.05,14.47,14.04,14.45,159400
ALOT,18-Jan-2006,8.4,8.688,8.24,8.672,4300
ALTR,18-Jan-2006,18.71,19.35,18.62,19.1,5265800
ALVR,18-Jan-2006,97.6,104.2,96.2,102.8,1559900
AMAT,18-Jan-2006,19.72,20.2,19.53,19.74,45457000
AMD,18-Jan-2006,32.6,34.38,32.33,34.15,32399800
AMED,18-Jan-2006,34.125,34.38,33.638,33.683,251400
AMGN,18-Jan-2006,78.3,79.15,77.68,78.83,7001000
AMKR,18-Jan-2006,5.15,5.26,5.06,5.18,1986500
AMNB,18-Jan-2006,23.01,23.5,23,23.1,4500
AMOT,18-Jan-2006,4.3,4.4,4.11,4.34,15700
AMPH,18-Jan-2006,12.74,12.98,12.74,12.98,1000
AMPL,18-Jan-2006,74.2,77.6,74.2,76.6,7400
AMRN,18-Jan-2006,2.95,2.95,2.4,2.52,1232400
AMSC,18-Jan-2006,94,95.6,93,95.1,231700
AMSF,18-Jan-2006,9.89,10.13,9.89,10,17100
AMSWA,18-Jan-2006,6.95,6.95,6.75,6.86,107400
AMWD,18-Jan-2006,24.75,26.46,24.71,26.06,164600
AMZN,18-Jan-2006,43.19,44.59,43.1,44.32,8744400
ANAT,18-Jan-2006,118.5,119,117.16,118.72,1400
ANDE,18-Jan-2006,15.2667,15.33,15.02,15.15,19700
ANGN,18-Jan-2006,4.3,4.3,3.95,4.18,49100
ANGO,18-Jan-2006,28.27,28.9,27.69,28.43,79700
ANIK,18-Jan-2006,11.02,11.37,11.02,11.17,28500
ANSS,18-Jan-2006,19.55,19.855,19.245,19.735,406000
APAC,18-Jan-2006,1.68,1.7,1.67,1.68,76500
APOG,18-Jan-2006,16.08,16.36,16.08,16.14,100100
APTM,18-Jan-2006,7.6,7.6,7.28,7.52,10100
ARCC,18-Jan-2006,16.54,16.7,16.35,16.67,93900
ARKR,18-Jan-2006,28.14,28.14,28.14,28.14,0
ARLP,18-Jan-2006,19.505,19.695,19.385,19.55,196300
ARNA,18-Jan-2006,158.4,168.5,158.2,168.1,950700
AROW,18-Jan-2006,26.27,26.56,26.17,26.39,7800
ARRY,18-Jan-2006,7,7.09,6.89,7.03,124700
ARTL,18-Jan-2006,7.75,7.75,7.75,7.75,500
ARTNA,18-Jan-2006,19.483,19.857,19.483,19.857,2000
ARTW,18-Jan-2006,5.69,5.69,5.69,5.69,500
ARWR,18-Jan-2006,4.5,4.85,4.5,4.79,98900
ASML,18-Jan-2006,21.28,22.19,21.27,21.39,10387300
ASRV,18-Jan-2006,4.53,4.53,4.5,4.5,8300
ASTE,18-Jan-2006,34.1,34.5,33.65,34.45,104600
ASYS,18-Jan-2006,7.8,7.98,7.01,7.9,15300
ATLO,18-Jan-2006,24.15,24.46,24.08,24.08,2000
ATRC,18-Jan-2006,12,12,11.46,11.59,9000
ATRI,18-Jan-2006,67.63,67.63,67.63,67.63,0
ATRO,18-Jan-2006,8.3417,8.825,8.3417,8.75,2100
ATRS,18-Jan-2006,18.36,18.78,18.04,18.75,284200
ATVI,18-Jan-2006,7.185,7.415,7.16,7.175,4355400
AUBN,18-Jan-2006,23,23,23,23,0
AUDC,18-Jan-2006,12.98,13.17,12.79,13.09,256400
AVCT,18-Jan-2006,29.05,29.63,28.8,28.98,393200
AVID,18-Jan-2006,53.65,54.49,53.05,54.19,520400
AWRE,18-Jan-2006,5.45,5.53,5.4,5.5,40200
AXTI,18-Jan-2006,2.3,2.32,2.23,2.3,69600
AZPN,18-Jan-2006,8.53,8.53,8.37,8.4,233500
BANF,18-Jan-2006,39.93,40.62,39.93,40.26,1700
BANFP,18-Jan-2006,25.1,25.1,25.1,25.1,1000
BANR,18-Jan-2006,217.7,221.55,217.7,219.8,10800
BBBY,18-Jan-2006,36.9,37.51,36.86,37.1,2983100
BBGI,18-Jan-2006,14,14.08,14,14.01,5100
BBSI,18-Jan-2006,26.39,26.81,26,26.64,18600
BCBP,18-Jan-2006,15.5,15.75,15.5,15.75,1100
BCPC,18-Jan-2006,9.8913,9.936,9.7287,9.7287,28200
BCRX,18-Jan-2006,22,22.15,20.8,21.49,4559700
BDSI,18-Jan-2006,2.93,2.95,2.8,2.9,129900
BECN,18-Jan-2006,20.297,20.904,20.297,20.864,362200
BELFA,18-Jan-2006,27.73,28.45,27.71,28.45,9000
BELFB,18-Jan-2006,34.5,34.55,33.96,34.55,21800
BFIN,18-Jan-2006,14.64,14.9,14.64,14.9,16500
BGFV,18-Jan-2006,20.5,20.5,19.98,20.17,74500
BIDU,18-Jan-2006,6.152,6.385,6.132,6.25,674600
BIIB,18-Jan-2006,42.454,42.5461,41.9566,42.2974,2657300
BJRI,18-Jan-2006,23.47,23.74,23.43,23.53,42000
BKSC,18-Jan-2006,17.75,17.75,17.75,17.75,100
BLDP,18-Jan-2006,4.62,4.77,4.5,4.63,903200
BLKB,18-Jan-2006,17.3,17.3,16.96,17.09,377500
BMRC,18-Jan-2006,17,17,16.8,16.8,1800
BMRN,18-Jan-2006,11.34,11.79,11.34,11.7,272600
BMTC,18-Jan-2006,21.15,21.23,21.06,21.06,5200
BNSO,18-Jan-2006,4.94,5.19,4.83,5.12,21800
BOKF,18-Jan-2006,46.04,46.04,45.55,46.03,21200
BOOM,18-Jan-2006,34.46,34.59,33.07,33.87,733000
BOSC,18-Jan-2006,10.32,10.36,9.96,10.24,35100
BPOP,18-Jan-2006,212,212,209.1,210.4,1076900
BPOPM,18-Jan-2006,24.8,25.15,24.8,25.15,9700
BPOPN,18-Jan-2006,25.5,25.5,25.3,25.5,14200
BRID,18-Jan-2006,6.71,6.92,6.68,6.68,2800
BRKL,18-Jan-2006,14.59,14.95,14.59,14.94,194200
